Invoice ID,Vendor,Vendor Type,Department,Amount,Payment Terms,Days: Data Entry,Days: Dept Mgr Approval,Days: Finance Mgr Approval,Days: Controller Approval,Days: Payment Processing
INV-2031,Cascade Freight Partners,Recurring,Sales & Marketing,13377.69,Net 30,1.3,6.3,5.1,4.6,1.4
INV-2032,Meridian Cleaning Supply,Recurring,Fleet & Logistics,9287.72,Net 30,0.7,5.1,3.5,1.6,0.7
INV-2033,Blackstone Facility Repair,One-off,Warehouse Ops,29465.85,Net 30,1.7,2.5,0.6,4.4,0.8
INV-2034,Norwood Uniform Services,Recurring,Facilities,705.29,Net 30,1.3,3.8,2.2,1.3,0.9
INV-2035,Delmar Industrial Supply,Recurring,Sales & Marketing,384.61,Net 30,1.5,3.3,0.0,0.0,0.6
INV-2036,Cascade Freight Partners,Recurring,Sales & Marketing,75964.56,Net 30,1.5,2.7,5.2,4.6,1.0
INV-2037,Overton Safety Gear,Recurring,Finance,16584.15,2/10 Net 30,0.8,2.1,4.1,6.5,1.0
INV-2038,Blackstone Facility Repair,One-off,Sales & Marketing,22636.85,Net 30,1.5,5.9,4.4,6.5,1.1
INV-2039,Juniper Equipment Rental,One-off,Fleet & Logistics,131.44,Net 30,1.5,3.5,0.0,0.0,1.4
INV-2040,Blackstone Facility Repair,One-off,Fleet & Logistics,3447.76,Net 30,1.5,4.1,3.6,4.5,1.4
INV-2041,Ashford Packaging Co.,Recurring,IT,1657.29,Net 30,0.9,2.1,2.5,3.5,1.3
INV-2042,Meridian Cleaning Supply,Recurring,Warehouse Ops,14950.03,Net 30,1.0,3.6,5.3,4.9,1.4
INV-2043,Overton Safety Gear,Recurring,Finance,736.14,Net 30,1.3,2.4,3.9,4.4,1.8
INV-2044,Delmar Industrial Supply,Recurring,Finance,42173.63,Net 30,1.0,4.6,5.6,2.8,0.8
INV-2045,Harlow Fasteners Inc.,Recurring,Sales & Marketing,6256.54,Net 30,2.0,3.3,2.5,3.8,0.5
INV-2046,Junction Fleet Fuel,Recurring,Fleet & Logistics,2748.06,Net 30,1.8,8.7,2.0,3.4,1.1
INV-2047,Driftwood Signage Co.,One-off,Fleet & Logistics,1866.64,Net 30,1.8,3.5,3.6,1.8,0.9
INV-2048,Delmar Industrial Supply,Recurring,Fleet & Logistics,102.37,Net 30,1.6,4.3,0.0,0.0,1.1
INV-2049,Lattice Warehouse Equip.,Recurring,Finance,44044.41,2/10 Net 30,1.2,7.4,6.2,4.6,0.8
INV-2050,Overton Safety Gear,Recurring,Sales & Marketing,1465.78,Net 30,1.3,4.9,1.2,5.5,1.1
INV-2051,Driftwood Signage Co.,One-off,IT,41178.32,Net 30,1.5,3.9,3.4,4.2,1.4
INV-2052,Meridian Cleaning Supply,Recurring,Facilities,6575.21,2/10 Net 30,1.1,1.3,4.3,6.8,0.5
INV-2053,Lattice Warehouse Equip.,Recurring,Fleet & Logistics,76562.49,Net 30,1.1,6.2,4.7,6.8,1.4
INV-2054,Overton Safety Gear,Recurring,Finance,36102.84,Net 30,1.1,4.2,2.8,5.6,0.6
INV-2055,Junction Fleet Fuel,Recurring,Finance,15283.98,Net 30,1.5,7.0,4.9,1.5,1.0
INV-2056,Compass IT Contractors,One-off,IT,6139.39,Net 30,1.4,2.5,3.8,2.1,0.8
INV-2057,Delmar Industrial Supply,Recurring,Fleet & Logistics,5866.47,Net 30,0.4,4.6,3.9,4.7,1.5
INV-2058,Cascade Freight Partners,Recurring,Finance,130.17,2/10 Net 30,1.7,4.7,0.0,0.0,1.3
