sku,category,trailing_revenue,trailing_units_ordered,revenue_rank,cumulative_revenue_pct,abc_tier
SKU-0117,Personal Care,954386.45,26875.0,1,2.18,A
SKU-0088,Office Supplies,893483.36,26992.0,2,4.22,A
SKU-0134,Outdoor & Sporting,761318.0,12988.0,3,5.95,A
SKU-0070,Office Supplies,747329.71,27082.0,4,7.66,A
SKU-0075,Office Supplies,673569.95,30827.0,5,9.19,A
SKU-0006,Electronics Accessories,660193.19,23886.0,6,10.7,A
SKU-0101,Personal Care,636130.82,20387.0,7,12.15,A
SKU-0147,Outdoor & Sporting,627157.96,7641.0,8,13.58,A
SKU-0118,Personal Care,615333.49,20217.0,9,14.99,A
SKU-0073,Office Supplies,562294.34,20039.0,10,16.27,A
SKU-0103,Personal Care,536567.85,13224.0,11,17.49,A
SKU-0074,Office Supplies,531560.82,23707.0,12,18.7,A
SKU-0179,Pet Supplies,526996.3,15657.0,13,19.91,A
SKU-0113,Personal Care,522054.76,17177.0,14,21.1,A
SKU-0127,Outdoor & Sporting,520363.44,6795.0,15,22.28,A
SKU-0112,Personal Care,498496.8,13083.0,16,23.42,A
SKU-0146,Outdoor & Sporting,465568.67,10260.0,17,24.48,A
SKU-0128,Outdoor & Sporting,460911.99,5393.0,18,25.54,A
SKU-0008,Electronics Accessories,460364.88,16588.0,19,26.59,A
SKU-0096,Office Supplies,447269.12,16204.0,20,27.61,A
SKU-0095,Office Supplies,436756.53,18095.0,21,28.6,A
SKU-0121,Personal Care,432252.21,15454.0,22,29.59,A
SKU-0097,Personal Care,415972.7,17867.0,23,30.54,A
SKU-0138,Outdoor & Sporting,415507.35,4677.0,24,31.48,A
SKU-0100,Personal Care,414933.74,13203.0,25,32.43,A
SKU-0102,Personal Care,410154.45,21353.0,26,33.37,A
SKU-0152,Outdoor & Sporting,403199.37,7252.0,27,34.29,A
SKU-0110,Personal Care,400870.23,12060.0,28,35.2,A
SKU-0140,Outdoor & Sporting,392956.08,8671.0,29,36.1,A
SKU-0119,Personal Care,389976.83,12086.0,30,36.99,A
SKU-0139,Outdoor & Sporting,388621.66,6952.0,31,37.87,A
SKU-0072,Office Supplies,388550.12,26170.0,32,38.76,A
SKU-0098,Personal Care,386601.93,15012.0,33,39.64,A
SKU-0171,Pet Supplies,378257.04,12561.0,34,40.5,A
SKU-0104,Personal Care,375938.16,17296.0,35,41.36,A
SKU-0175,Pet Supplies,373829.3,7319.0,36,42.22,A
SKU-0149,Outdoor & Sporting,373463.98,5597.0,37,43.07,A
SKU-0167,Pet Supplies,369936.0,6820.0,38,43.91,A
SKU-0173,Pet Supplies,361437.2,15935.0,39,44.74,A
SKU-0078,Office Supplies,356750.52,25436.0,40,45.55,A
SKU-0160,Pet Supplies,355460.4,6784.0,41,46.36,A
SKU-0129,Outdoor & Sporting,350823.0,4672.0,42,47.16,A
SKU-0067,Office Supplies,343433.61,12193.0,43,47.94,A
SKU-0120,Personal Care,342999.99,11586.0,44,48.73,A
SKU-0082,Office Supplies,335451.36,12216.0,45,49.49,A
SKU-0107,Personal Care,328708.38,13956.0,46,50.24,A
SKU-0131,Outdoor & Sporting,312895.68,5224.0,47,50.96,A
SKU-0081,Office Supplies,312747.4,18236.0,48,51.67,A
SKU-0092,Office Supplies,303348.48,19122.0,49,52.36,A
SKU-0116,Personal Care,297344.64,17048.0,50,53.04,A
SKU-0083,Office Supplies,296617.84,19211.0,51,53.72,A
SKU-0148,Outdoor & Sporting,293449.2,4564.0,52,54.39,A
SKU-0150,Outdoor & Sporting,293309.29,4315.0,53,55.05,A
SKU-0158,Pet Supplies,292481.04,9251.0,54,55.72,A
SKU-0114,Personal Care,291668.08,12354.0,55,56.39,A
SKU-0109,Personal Care,283681.92,12673.0,56,57.03,A
SKU-0015,Electronics Accessories,280439.0,11349.0,57,57.67,A
SKU-0164,Pet Supplies,275545.06,7716.0,58,58.3,A
SKU-0069,Office Supplies,275280.12,28321.0,59,58.93,A
SKU-0085,Office Supplies,275187.5,13830.0,60,59.56,A
SKU-0125,Outdoor & Sporting,274497.58,4915.0,61,60.18,A
SKU-0106,Personal Care,268342.13,14449.0,62,60.8,A
SKU-0071,Office Supplies,267338.96,11771.0,63,61.41,A
SKU-0077,Office Supplies,263221.2,16249.0,64,62.01,A
SKU-0033,Electronics Accessories,262996.85,6450.0,65,62.61,A
