sku,category,avg_on_hand_units,avg_on_hand_value,avg_days_of_inventory,reorder_point_current
SKU-0070,Office Supplies,1023.4,15259.52,26.7,806.0
SKU-0088,Office Supplies,804.4,13490.27,23.2,727.0
SKU-0117,Personal Care,645.4,11965.43,18.8,720.0
SKU-0101,Personal Care,609.0,11802.53,19.2,667.0
SKU-0075,Office Supplies,1042.3,11392.86,24.3,899.0
SKU-0074,Office Supplies,826.7,11086.61,24.1,719.0
SKU-0118,Personal Care,522.3,10602.38,18.7,588.0
SKU-0134,Outdoor & Sporting,176.2,9757.16,10.3,360.0
SKU-0073,Office Supplies,597.9,9105.26,23.1,544.0
SKU-0096,Office Supplies,555.5,8988.3,25.7,454.0
SKU-0147,Outdoor & Sporting,124.8,8374.47,11.3,232.0
SKU-0103,Personal Care,359.4,7655.83,19.7,383.0
SKU-0006,Electronics Accessories,252.2,7314.69,8.0,660.0
SKU-0098,Personal Care,443.0,7243.3,22.7,409.0
SKU-0121,Personal Care,417.3,7202.0,19.1,458.0
SKU-0095,Office Supplies,560.1,7063.18,23.8,494.0
SKU-0113,Personal Care,405.4,7008.87,17.8,479.0
SKU-0097,Personal Care,423.6,6795.19,18.1,491.0
SKU-0127,Outdoor & Sporting,95.5,6665.41,10.7,188.0
SKU-0067,Office Supplies,380.6,6436.14,24.5,326.0
SKU-0112,Personal Care,302.9,6397.53,18.2,350.0
SKU-0078,Office Supplies,774.6,6220.01,22.7,717.0
SKU-0110,Personal Care,336.8,6210.17,21.6,327.0
SKU-0081,Office Supplies,663.3,6188.21,26.4,528.0
SKU-0082,Office Supplies,464.6,6179.85,27.0,361.0
SKU-0119,Personal Care,300.0,6153.47,17.9,352.0
SKU-0072,Office Supplies,758.9,6139.87,24.1,662.0
SKU-0092,Office Supplies,637.6,6114.68,24.8,539.0
SKU-0069,Office Supplies,1165.2,6024.19,27.2,900.0
SKU-0083,Office Supplies,650.6,5933.52,26.7,512.0
SKU-0008,Electronics Accessories,165.0,5892.08,7.0,496.0
SKU-0179,Pet Supplies,252.8,5832.05,15.3,346.0
SKU-0140,Outdoor & Sporting,130.5,5612.74,11.2,244.0
SKU-0104,Personal Care,466.1,5555.73,18.3,534.0
SKU-0100,Personal Care,306.9,5379.75,17.3,373.0
SKU-0175,Pet Supplies,163.8,5109.3,16.9,204.0
SKU-0109,Personal Care,395.1,5101.21,22.1,376.0
SKU-0085,Office Supplies,407.8,4934.29,24.3,353.0
SKU-0171,Pet Supplies,230.7,4904.6,14.0,346.0
SKU-0173,Pet Supplies,378.6,4811.83,17.7,450.0
SKU-0160,Pet Supplies,147.6,4675.3,16.1,192.0
SKU-0116,Personal Care,463.7,4669.67,18.8,517.0
SKU-0071,Office Supplies,369.9,4538.56,24.4,319.0
SKU-0102,Personal Care,443.4,4518.32,16.8,554.0
SKU-0152,Outdoor & Sporting,112.3,4510.0,11.6,203.0
SKU-0077,Office Supplies,492.1,4507.34,23.7,436.0
SKU-0128,Outdoor & Sporting,70.3,4464.51,10.2,145.0
SKU-0146,Outdoor & Sporting,104.2,4462.31,7.9,277.0
SKU-0139,Outdoor & Sporting,84.6,4412.65,8.9,199.0
SKU-0158,Pet Supplies,203.1,4317.62,15.8,270.0
SKU-0164,Pet Supplies,191.8,4316.11,18.0,224.0
