sku,category,abc_tier,mean_weekly_demand,std_weekly_demand,lead_time_days_mean,reorder_point_current,reorder_point_recommended,rp_change,rp_change_pct
SKU-0068,Office Supplies,C,150.80769230769232,59.85436644867579,8.5,440.0,279.0,-161.0,-36.6
SKU-0079,Office Supplies,B,196.16346153846155,83.05327692101554,8.8,552.0,396.0,-156.0,-28.3
SKU-0069,Office Supplies,A,272.38461538461536,180.28377349145057,9.2,900.0,776.0,-124.0,-13.8
SKU-0083,Office Supplies,A,184.78846153846155,85.11119774786498,7.7,512.0,415.0,-97.0,-18.9
SKU-0076,Office Supplies,B,168.71153846153845,73.21874038278195,10.5,484.0,398.0,-86.0,-17.8
SKU-0086,Office Supplies,B,129.16346153846155,48.575656250167405,9.9,363.0,281.0,-82.0,-22.6
SKU-0087,Office Supplies,C,106.17307692307692,54.291096430314205,9.8,307.0,225.0,-82.0,-26.7
SKU-0089,Office Supplies,A,135.32692307692307,43.902018510264185,9.3,395.0,316.0,-79.0,-20.0
SKU-0080,Office Supplies,A,129.58653846153845,44.71649867689593,8.3,359.0,285.0,-74.0,-20.6
SKU-0082,Office Supplies,A,117.45192307692308,34.11228739920083,8.8,361.0,298.0,-63.0,-17.5
SKU-0093,Office Supplies,B,141.17307692307693,71.22185253009971,10.3,419.0,361.0,-58.0,-13.8
SKU-0094,Office Supplies,B,122.21153846153847,48.46932231192373,10.8,362.0,308.0,-54.0,-14.9
SKU-0091,Office Supplies,A,136.79807692307693,58.739077449061455,9.3,397.0,353.0,-44.0,-11.1
SKU-0073,Office Supplies,A,192.6153846153846,77.55415366894894,10.8,544.0,506.0,-38.0,-7.0
SKU-0081,Office Supplies,A,175.3653846153846,95.86297438585486,8.7,528.0,490.0,-38.0,-7.2
SKU-0070,Office Supplies,A,260.46153846153845,170.10955482356167,9.1,806.0,770.0,-36.0,-4.5
SKU-0084,Office Supplies,A,136.3846153846154,79.4333460207035,8.7,399.0,367.0,-32.0,-8.0
SKU-0096,Office Supplies,A,155.7403846153846,92.60071873657485,9.8,454.0,433.0,-21.0,-4.6
SKU-0090,Office Supplies,A,126.66346153846153,59.50697284375699,9.8,358.0,337.0,-21.0,-5.9
SKU-0075,Office Supplies,A,296.4807692307692,174.1695402554666,10.5,899.0,886.0,-13.0,-1.4
SKU-0067,Office Supplies,A,117.125,56.29925028385611,9.9,326.0,314.0,-12.0,-3.7
SKU-0092,Office Supplies,A,183.73076923076923,113.3614573606767,9.8,539.0,540.0,1.0,0.2
SKU-0169,Pet Supplies,C,52.11538461538461,20.244288511240967,16.1,156.0,166.0,10.0,6.4
SKU-0177,Pet Supplies,C,46.24038461538461,12.058510423640334,19.3,137.0,152.0,15.0,10.9
SKU-0180,Pet Supplies,C,49.17307692307692,29.98687166067886,15.2,139.0,161.0,22.0,15.8
SKU-0074,Office Supplies,A,227.9903846153846,152.3346147732125,11.3,719.0,745.0,26.0,3.6
SKU-0071,Office Supplies,A,113.21153846153847,69.47174784807468,9.8,319.0,346.0,27.0,8.5
SKU-0088,Office Supplies,A,259.53846153846155,138.18180813182695,10.3,727.0,760.0,33.0,4.5
SKU-0077,Office Supplies,A,156.25,105.61045384413916,9.6,436.0,483.0,47.0,10.8
SKU-0060,Home & Kitchen,C,25.14423076923077,5.422746535203675,29.2,71.0,122.0,51.0,71.8
SKU-0056,Home & Kitchen,C,28.10576923076923,9.236817706563599,23.7,80.0,133.0,53.0,66.2
SKU-0061,Home & Kitchen,C,25.35576923076923,12.350793590501,27.5,75.0,129.0,54.0,72.0
SKU-0036,Home & Kitchen,A,27.298076923076923,10.56361203275146,21.0,76.0,139.0,63.0,82.9
SKU-0052,Home & Kitchen,C,26.048076923076923,9.943900709199267,28.6,72.0,144.0,72.0,100.0
SKU-0085,Office Supplies,A,133.03846153846155,100.88337235158049,9.8,353.0,425.0,72.0,20.4
SKU-0048,Home & Kitchen,C,24.846153846153847,13.303601403612433,29.6,73.0,147.0,74.0,101.4
SKU-0039,Home & Kitchen,C,25.60576923076923,8.32287556406837,30.6,78.0,152.0,74.0,94.9
SKU-0057,Home & Kitchen,C,40.52884615384615,12.42215115961854,25.3,119.0,194.0,75.0,63.0
SKU-0172,Pet Supplies,B,46.91346153846154,22.225722252583644,20.4,147.0,226.0,79.0,53.7
SKU-0167,Pet Supplies,A,65.5673076923077,19.34096935506922,20.5,184.0,264.0,80.0,43.5
SKU-0054,Home & Kitchen,B,27.78846153846154,7.667448629364482,24.5,78.0,163.0,85.0,109.0
SKU-0155,Pet Supplies,C,45.21153846153846,22.79016696366036,23.9,131.0,219.0,88.0,67.2
SKU-0053,Home & Kitchen,C,29.21153846153846,20.23103118609814,27.2,75.0,166.0,91.0,121.3
SKU-0038,Home & Kitchen,B,25.653846153846153,7.445294638088288,31.6,73.0,165.0,92.0,126.0
SKU-0042,Home & Kitchen,A,29.53846153846154,14.69556638570166,29.2,86.0,181.0,95.0,110.5
SKU-0063,Home & Kitchen,B,36.18269230769231,15.578653819153553,27.4,104.0,199.0,95.0,91.3
SKU-0095,Office Supplies,A,173.95192307692307,102.46565892240089,11.4,494.0,589.0,95.0,19.2
SKU-0035,Home & Kitchen,B,30.471153846153847,14.677740051678434,27.7,90.0,186.0,96.0,106.7
SKU-0059,Home & Kitchen,B,24.682692307692307,8.14345221882763,29.6,75.0,171.0,96.0,128.0
SKU-0174,Pet Supplies,A,49.68269230769231,22.099187009198165,17.7,131.0,231.0,100.0,76.3
SKU-0154,Pet Supplies,A,54.11538461538461,24.73365212465499,19.6,159.0,260.0,101.0,63.5
SKU-0078,Office Supplies,A,244.64423076923077,146.09924265463152,12.3,717.0,819.0,102.0,14.2
SKU-0041,Home & Kitchen,B,31.85576923076923,12.56703830780044,23.8,90.0,193.0,103.0,114.4
SKU-0045,Home & Kitchen,B,26.028846153846153,5.359786857755407,33.0,75.0,179.0,104.0,138.7
SKU-0168,Pet Supplies,C,86.09615384615384,37.40373254588973,20.5,255.0,359.0,104.0,40.8
SKU-0153,Pet Supplies,B,55.22115384615385,28.050563475215117,20.9,148.0,253.0,105.0,70.9
SKU-0066,Home & Kitchen,B,31.923076923076923,14.267004711933621,27.4,88.0,193.0,105.0,119.3
SKU-0166,Pet Supplies,A,44.88461538461539,19.86278546560317,22.0,133.0,240.0,107.0,80.5
SKU-0046,Home & Kitchen,A,28.307692307692307,12.013808336217028,28.7,82.0,189.0,107.0,130.5
SKU-0175,Pet Supplies,A,70.4326923076923,23.117582273171077,18.9,204.0,313.0,109.0,53.4
SKU-0105,Personal Care,C,114.47115384615384,48.6321553960087,20.2,326.0,436.0,110.0,33.7
SKU-0160,Pet Supplies,A,65.15384615384616,33.95078369079012,18.8,192.0,305.0,113.0,58.9
SKU-0044,Home & Kitchen,B,29.865384615384617,13.810828516662356,28.0,85.0,200.0,115.0,135.3
SKU-0040,Home & Kitchen,B,34.64423076923077,17.159400191630233,25.8,100.0,215.0,115.0,115.0
SKU-0055,Home & Kitchen,B,30.490384615384617,16.672164577381515,28.8,84.0,200.0,116.0,138.1
SKU-0121,Personal Care,A,148.48076923076923,62.56367331623051,15.6,458.0,574.0,116.0,25.3
SKU-0159,Pet Supplies,A,46.88461538461539,26.983744726451246,18.5,134.0,251.0,117.0,87.3
SKU-0065,Home & Kitchen,B,47.5,17.30480599947921,26.8,147.0,266.0,119.0,81.0
SKU-0165,Pet Supplies,B,48.75961538461539,32.603381560369215,21.9,149.0,274.0,125.0,83.9
SKU-0176,Pet Supplies,B,54.66346153846154,21.437473123501203,23.1,153.0,280.0,127.0,83.0
SKU-0062,Home & Kitchen,B,27.884615384615383,12.279359659080052,35.2,75.0,202.0,127.0,169.3
SKU-0161,Pet Supplies,A,47.20192307692308,24.813236292249268,23.5,143.0,270.0,127.0,88.8
SKU-0064,Home & Kitchen,B,28.826923076923077,15.297973917307086,31.4,77.0,206.0,129.0,167.5
SKU-0058,Home & Kitchen,A,32.0,15.580046985733702,28.9,89.0,219.0,130.0,146.1
SKU-0109,Personal Care,A,121.77884615384616,54.691536898906506,16.0,376.0,509.0,133.0,35.4
SKU-0110,Personal Care,A,116.01923076923077,34.30841861339653,15.1,327.0,460.0,133.0,40.7
SKU-0119,Personal Care,A,116.29807692307692,52.57779807708575,16.8,352.0,487.0,135.0,38.4
SKU-0103,Personal Care,A,127.25,44.096925459168425,16.2,383.0,521.0,138.0,36.0
SKU-0163,Pet Supplies,B,102.60576923076923,44.21602272278631,21.2,313.0,452.0,139.0,44.4
SKU-0049,Home & Kitchen,A,36.33653846153846,12.216184217400201,30.8,105.0,244.0,139.0,132.4
SKU-0111,Personal Care,C,122.74038461538461,73.19557459065719,19.2,345.0,487.0,142.0,41.2
SKU-0037,Home & Kitchen,B,43.25,15.95914079007017,26.3,124.0,269.0,145.0,116.9
SKU-0051,Home & Kitchen,A,31.442307692307693,10.070457537331773,29.8,86.0,240.0,154.0,179.1
SKU-0178,Pet Supplies,C,69.36538461538461,32.38843665533809,25.5,201.0,358.0,157.0,78.1
SKU-0137,Outdoor & Sporting,B,52.73076923076923,17.459651554720327,33.1,153.0,316.0,163.0,106.5
SKU-0156,Pet Supplies,A,48.30769230769231,34.62533920427643,20.2,140.0,303.0,163.0,116.4
SKU-0162,Pet Supplies,B,79.58653846153847,33.810899195470576,22.4,238.0,407.0,169.0,71.0
SKU-0170,Pet Supplies,B,112.79807692307692,73.37566325036471,17.7,334.0,506.0,172.0,51.5
SKU-0164,Pet Supplies,A,74.25961538461539,46.989152888416946,19.0,224.0,398.0,174.0,77.7
SKU-0047,Home & Kitchen,A,36.65384615384615,24.427331990421635,29.8,105.0,279.0,174.0,165.7
SKU-0142,Outdoor & Sporting,C,46.66346153846154,27.115936122231037,33.0,132.0,311.0,179.0,135.6
SKU-0129,Outdoor & Sporting,A,44.97115384615385,21.312039867546872,32.4,124.0,308.0,184.0,148.4
SKU-0138,Outdoor & Sporting,A,44.92307692307692,19.611118457131823,34.3,133.0,320.0,187.0,140.6
SKU-0123,Personal Care,A,127.27884615384616,64.44406873229079,16.9,353.0,542.0,189.0,53.5
SKU-0145,Outdoor & Sporting,B,36.97115384615385,21.995788092299495,38.1,118.0,309.0,191.0,161.9
SKU-0072,Office Supplies,A,251.6346153846154,183.16489773156775,10.1,662.0,854.0,192.0,29.0
SKU-0126,Outdoor & Sporting,A,40.34615384615385,16.882672929890425,37.2,119.0,321.0,202.0,169.7
SKU-0050,Home & Kitchen,A,62.99038461538461,33.26080967211727,22.9,169.0,375.0,206.0,121.9
SKU-0115,Personal Care,B,123.5673076923077,96.59823355870274,17.5,345.0,552.0,207.0,60.0
SKU-0133,Outdoor & Sporting,A,51.46153846153846,19.299340034454467,28.2,146.0,354.0,208.0,142.5
SKU-0128,Outdoor & Sporting,A,51.82692307692308,24.041809176908455,28.9,145.0,355.0,210.0,144.8
SKU-0112,Personal Care,A,125.6923076923077,56.74693900013453,16.0,350.0,565.0,215.0,61.4
SKU-0132,Outdoor & Sporting,B,53.75,23.0439638917583,35.8,149.0,372.0,223.0,149.7
SKU-0122,Personal Care,B,196.80769230769232,133.41191610096024,15.0,548.0,771.0,223.0,40.7
SKU-0098,Personal Care,A,144.34615384615384,133.28382513762088,12.5,409.0,641.0,232.0,56.7
SKU-0148,Outdoor & Sporting,A,44.07692307692308,18.83896618053408,38.5,128.0,361.0,233.0,182.0
SKU-0100,Personal Care,A,126.83653846153847,63.112799399928335,17.9,373.0,613.0,240.0,64.3
SKU-0149,Outdoor & Sporting,A,53.97115384615385,19.793819144511154,35.7,161.0,405.0,244.0,151.6
SKU-0099,Personal Care,C,141.60576923076923,103.0997648871756,20.3,380.0,627.0,247.0,65.0
SKU-0136,Outdoor & Sporting,B,59.46153846153846,45.2415143740003,30.4,172.0,426.0,254.0,147.7
SKU-0022,Electronics Accessories,B,54.98076923076923,19.41072707592715,39.0,155.0,411.0,256.0,165.2
SKU-0106,Personal Care,A,138.8846153846154,64.86675030395978,19.4,411.0,671.0,260.0,63.3
SKU-0030,Electronics Accessories,B,48.39423076923077,21.777078119926333,40.6,153.0,415.0,262.0,171.2
SKU-0007,Electronics Accessories,C,53.83653846153846,15.897798942067102,38.2,152.0,415.0,263.0,173.0
SKU-0107,Personal Care,A,134.17307692307693,75.40034795671717,19.8,397.0,660.0,263.0,66.2
SKU-0016,Electronics Accessories,C,56.33653846153846,23.747707330085557,42.2,164.0,431.0,267.0,162.8
SKU-0158,Pet Supplies,A,88.97115384615384,60.94410246972367,22.6,270.0,537.0,267.0,98.9
SKU-0150,Outdoor & Sporting,A,41.5,31.23385019587327,34.1,117.0,390.0,273.0,233.3
SKU-0130,Outdoor & Sporting,A,44.84615384615385,24.20293219448943,35.4,129.0,403.0,274.0,212.4
SKU-0125,Outdoor & Sporting,A,47.31730769230769,25.603877294014094,40.6,133.0,409.0,276.0,207.5
SKU-0144,Outdoor & Sporting,B,50.05769230769231,33.37862432175934,36.3,139.0,424.0,285.0,205.0
SKU-0135,Outdoor & Sporting,B,44.17307692307692,29.520913208337905,45.3,124.0,409.0,285.0,229.8
SKU-0120,Personal Care,A,111.3076923076923,49.0866238325987,20.2,320.0,607.0,287.0,89.7
SKU-0013,Electronics Accessories,B,71.88461538461539,19.205737255829447,32.2,211.0,499.0,288.0,136.5
SKU-0031,Electronics Accessories,C,57.21153846153846,29.41754085968975,43.8,168.0,472.0,304.0,181.0
SKU-0010,Electronics Accessories,B,58.66346153846154,25.691829601835845,41.1,168.0,473.0,305.0,181.5
SKU-0131,Outdoor & Sporting,A,50.09615384615385,25.88230239558471,36.6,136.0,449.0,313.0,230.1
SKU-0151,Outdoor & Sporting,A,52.28846153846154,41.42244433513715,29.7,148.0,467.0,319.0,215.5
SKU-0114,Personal Care,A,118.6923076923077,54.99304049932789,23.1,349.0,669.0,320.0,91.7
SKU-0005,Electronics Accessories,B,55.24038461538461,33.53870252172743,38.8,163.0,486.0,323.0,198.2
SKU-0019,Electronics Accessories,C,61.86538461538461,15.216277495547612,45.6,171.0,495.0,324.0,189.5
SKU-0157,Pet Supplies,A,98.64423076923077,49.69165472106058,22.6,252.0,577.0,325.0,129.0
SKU-0113,Personal Care,A,165.26923076923077,97.82004785579146,17.6,479.0,813.0,334.0,69.7
SKU-0139,Outdoor & Sporting,A,66.84615384615384,37.421184289212036,34.7,199.0,536.0,337.0,169.3
SKU-0001,Electronics Accessories,C,67.3076923076923,21.805440188341052,41.5,196.0,535.0,339.0,173.0
SKU-0026,Electronics Accessories,C,71.20192307692308,47.22398185546499,35.0,179.0,518.0,339.0,189.4
SKU-0102,Personal Care,A,205.31730769230768,92.30681894502197,17.6,554.0,894.0,340.0,61.4
SKU-0116,Personal Care,A,163.94230769230768,103.25675670062272,17.0,517.0,859.0,342.0,66.2
SKU-0127,Outdoor & Sporting,A,65.39423076923077,29.0264085545783,32.4,188.0,530.0,342.0,181.9
SKU-0118,Personal Care,A,194.3846153846154,145.87601516305082,17.3,588.0,931.0,343.0,58.3
SKU-0101,Personal Care,A,196.07692307692307,109.34577668918456,18.4,667.0,1012.0,345.0,51.7
SKU-0012,Electronics Accessories,B,54.58653846153846,30.532685200802785,42.0,169.0,515.0,346.0,204.7
SKU-0021,Electronics Accessories,B,56.64423076923077,26.37773342730119,37.3,155.0,504.0,349.0,225.2
SKU-0108,Personal Care,B,155.20192307692307,109.66200320859629,22.0,446.0,805.0,359.0,80.5
SKU-0152,Outdoor & Sporting,A,69.77884615384616,32.48508447301346,32.3,203.0,563.0,360.0,177.3
