week_ending,sku,on_hand_qty,reorder_point_current
2024-01-07,SKU-0001,401.8,196.0
2024-01-14,SKU-0001,314.8,196.0
2024-01-21,SKU-0001,231.8,196.0
2024-01-28,SKU-0001,186.8,196.0
2024-02-04,SKU-0001,139.8,196.0
2024-02-11,SKU-0001,96.8,196.0
2024-02-18,SKU-0001,32.8,196.0
2024-02-25,SKU-0001,0.0,196.0
2024-03-03,SKU-0001,0.0,196.0
2024-03-10,SKU-0001,0.0,196.0
2024-03-17,SKU-0001,163.8,196.0
2024-03-24,SKU-0001,108.8,196.0
2024-03-31,SKU-0001,36.8,196.0
2024-04-07,SKU-0001,0.0,196.0
2024-04-14,SKU-0001,0.0,196.0
2024-04-21,SKU-0001,0.0,196.0
2024-04-28,SKU-0001,181.8,196.0
2024-05-05,SKU-0001,124.8,196.0
2024-05-12,SKU-0001,66.8,196.0
2024-05-19,SKU-0001,0.0,196.0
2024-05-26,SKU-0001,0.0,196.0
2024-06-02,SKU-0001,0.0,196.0
2024-06-09,SKU-0001,188.8,196.0
2024-06-16,SKU-0001,138.8,196.0
2024-06-23,SKU-0001,367.6,196.0
2024-06-30,SKU-0001,320.6,196.0
2024-07-07,SKU-0001,268.6,196.0
2024-07-14,SKU-0001,227.6,196.0
2024-07-21,SKU-0001,191.6,196.0
2024-07-28,SKU-0001,129.6,196.0
2024-08-04,SKU-0001,43.6,196.0
2024-08-11,SKU-0001,0.0,196.0
2024-08-18,SKU-0001,0.0,196.0
2024-08-25,SKU-0001,0.0,196.0
2024-09-01,SKU-0001,0.0,196.0
2024-09-08,SKU-0001,202.8,196.0
2024-09-15,SKU-0001,124.8,196.0
2024-09-22,SKU-0001,31.8,196.0
2024-09-29,SKU-0001,232.6,196.0
2024-10-06,SKU-0001,180.6,196.0
2024-10-13,SKU-0001,102.6,196.0
2024-10-20,SKU-0001,27.6,196.0
2024-10-27,SKU-0001,0.0,196.0
2024-11-03,SKU-0001,0.0,196.0
2024-11-10,SKU-0001,0.0,196.0
2024-11-17,SKU-0001,0.0,196.0
2024-11-24,SKU-0001,0.0,196.0
2024-12-01,SKU-0001,178.8,196.0
2024-12-08,SKU-0001,84.8,196.0
2024-12-15,SKU-0001,23.8,196.0
2024-12-22,SKU-0001,0.0,196.0
2024-12-29,SKU-0001,0.0,196.0
2025-01-05,SKU-0001,0.0,196.0
2025-01-12,SKU-0001,0.0,196.0
2025-01-19,SKU-0001,185.8,196.0
2025-01-26,SKU-0001,151.8,196.0
2025-02-02,SKU-0001,86.8,196.0
2025-02-09,SKU-0001,22.8,196.0
2025-02-16,SKU-0001,0.0,196.0
2025-02-23,SKU-0001,0.0,196.0
2025-03-02,SKU-0001,0.0,196.0
2025-03-09,SKU-0001,186.8,196.0
2025-03-16,SKU-0001,138.8,196.0
2025-03-23,SKU-0001,82.8,196.0
2025-03-30,SKU-0001,18.8,196.0
2025-04-06,SKU-0001,0.0,196.0
2025-04-13,SKU-0001,0.0,196.0
2025-04-20,SKU-0001,0.0,196.0
2025-04-27,SKU-0001,189.8,196.0
2025-05-04,SKU-0001,138.8,196.0
2025-05-11,SKU-0001,48.8,196.0
2025-05-18,SKU-0001,0.0,196.0
2025-05-25,SKU-0001,0.0,196.0
2025-06-01,SKU-0001,0.0,196.0
2025-06-08,SKU-0001,163.8,196.0
2025-06-15,SKU-0001,46.8,196.0
2025-06-22,SKU-0001,10.8,196.0
2025-06-29,SKU-0001,0.0,196.0
2025-07-06,SKU-0001,0.0,196.0
2025-07-13,SKU-0001,201.8,196.0
2025-07-20,SKU-0001,158.8,196.0
2025-07-27,SKU-0001,63.8,196.0
2025-08-03,SKU-0001,22.8,196.0
2025-08-10,SKU-0001,0.0,196.0
2025-08-17,SKU-0001,0.0,196.0
2025-08-24,SKU-0001,224.8,196.0
2025-08-31,SKU-0001,167.8,196.0
2025-09-07,SKU-0001,126.8,196.0
2025-09-14,SKU-0001,56.8,196.0
2025-09-21,SKU-0001,0.0,196.0
2025-09-28,SKU-0001,0.0,196.0
2025-10-05,SKU-0001,0.0,196.0
2025-10-12,SKU-0001,0.0,196.0
2025-10-19,SKU-0001,0.0,196.0
2025-10-26,SKU-0001,0.0,196.0
2025-11-02,SKU-0001,164.8,196.0
2025-11-09,SKU-0001,100.8,196.0
2025-11-16,SKU-0001,8.8,196.0
2025-11-23,SKU-0001,0.0,196.0
2025-11-30,SKU-0001,0.0,196.0
2025-12-07,SKU-0001,199.8,196.0
2025-12-14,SKU-0001,109.8,196.0
2025-12-21,SKU-0001,22.8,196.0
2025-12-28,SKU-0001,0.0,196.0
2024-01-07,SKU-0002,464.0,222.0
2024-01-14,SKU-0002,430.0,222.0
2024-01-21,SKU-0002,382.0,222.0
2024-01-28,SKU-0002,282.0,222.0
2024-02-04,SKU-0002,229.0,222.0
2024-02-11,SKU-0002,198.0,222.0
2024-02-18,SKU-0002,96.0,222.0
2024-02-25,SKU-0002,24.0,222.0
2024-03-03,SKU-0002,0.0,222.0
2024-03-10,SKU-0002,0.0,222.0
2024-03-17,SKU-0002,0.0,222.0
2024-03-24,SKU-0002,263.0,222.0
2024-03-31,SKU-0002,153.0,222.0
2024-04-07,SKU-0002,0.0,222.0
2024-04-14,SKU-0002,0.0,222.0
2024-04-21,SKU-0002,0.0,222.0
2024-04-28,SKU-0002,0.0,222.0
2024-05-05,SKU-0002,0.0,222.0
2024-05-12,SKU-0002,236.0,222.0
2024-05-19,SKU-0002,178.0,222.0
2024-05-26,SKU-0002,105.0,222.0
2024-06-02,SKU-0002,0.0,222.0
2024-06-09,SKU-0002,0.0,222.0
2024-06-16,SKU-0002,0.0,222.0
2024-06-23,SKU-0002,0.0,222.0
2024-06-30,SKU-0002,0.0,222.0
2024-07-07,SKU-0002,269.0,222.0
2024-07-14,SKU-0002,233.0,222.0
2024-07-21,SKU-0002,138.0,222.0
2024-07-28,SKU-0002,86.0,222.0
2024-08-04,SKU-0002,0.0,222.0
2024-08-11,SKU-0002,0.0,222.0
2024-08-18,SKU-0002,0.0,222.0
2024-08-25,SKU-0002,0.0,222.0
2024-09-01,SKU-0002,0.0,222.0
2024-09-08,SKU-0002,229.0,222.0
2024-09-15,SKU-0002,177.0,222.0
2024-09-22,SKU-0002,125.0,222.0
2024-09-29,SKU-0002,68.0,222.0
2024-10-06,SKU-0002,22.0,222.0
2024-10-13,SKU-0002,0.0,222.0
2024-10-20,SKU-0002,0.0,222.0
2024-10-27,SKU-0002,0.0,222.0
2024-11-03,SKU-0002,217.0,222.0
2024-11-10,SKU-0002,177.0,222.0
2024-11-17,SKU-0002,89.0,222.0
2024-11-24,SKU-0002,0.0,222.0
2024-12-01,SKU-0002,0.0,222.0
2024-12-08,SKU-0002,0.0,222.0
2024-12-15,SKU-0002,0.0,222.0
2024-12-22,SKU-0002,233.0,222.0
2024-12-29,SKU-0002,27.0,222.0
2025-01-05,SKU-0002,0.0,222.0
2025-01-12,SKU-0002,0.0,222.0
2025-01-19,SKU-0002,0.0,222.0
2025-01-26,SKU-0002,0.0,222.0
2025-02-02,SKU-0002,0.0,222.0
2025-02-09,SKU-0002,226.0,222.0
2025-02-16,SKU-0002,153.0,222.0
2025-02-23,SKU-0002,81.0,222.0
2025-03-02,SKU-0002,13.0,222.0
2025-03-09,SKU-0002,0.0,222.0
2025-03-16,SKU-0002,0.0,222.0
2025-03-23,SKU-0002,0.0,222.0
2025-03-30,SKU-0002,0.0,222.0
2025-04-06,SKU-0002,227.0,222.0
2025-04-13,SKU-0002,174.0,222.0
2025-04-20,SKU-0002,89.0,222.0
2025-04-27,SKU-0002,0.0,222.0
2025-05-04,SKU-0002,0.0,222.0
2025-05-11,SKU-0002,0.0,222.0
2025-05-18,SKU-0002,0.0,222.0
2025-05-25,SKU-0002,240.0,222.0
2025-06-01,SKU-0002,176.0,222.0
2025-06-08,SKU-0002,121.0,222.0
2025-06-15,SKU-0002,40.0,222.0
2025-06-22,SKU-0002,0.0,222.0
2025-06-29,SKU-0002,0.0,222.0
2025-07-06,SKU-0002,0.0,222.0
