order_id,order_date,sku,category,region,qty_ordered,qty_fulfilled,unit_cost,unit_price,revenue
100001,2024-01-07,SKU-0001,Electronics Accessories,Northeast,16,16,6.13,10.21,163.36
100002,2024-01-07,SKU-0001,Electronics Accessories,Midwest,7,7,6.13,10.21,71.47
100003,2024-01-07,SKU-0001,Electronics Accessories,South,16,16,6.13,10.21,163.36
100004,2024-01-07,SKU-0001,Electronics Accessories,West,16,16,6.13,10.21,163.36
100005,2024-01-14,SKU-0001,Electronics Accessories,Northeast,25,25,6.13,10.21,255.25
100006,2024-01-14,SKU-0001,Electronics Accessories,Midwest,11,11,6.13,10.21,112.31
100007,2024-01-14,SKU-0001,Electronics Accessories,South,25,25,6.13,10.21,255.25
100008,2024-01-14,SKU-0001,Electronics Accessories,West,26,26,6.13,10.21,265.46
100009,2024-01-21,SKU-0001,Electronics Accessories,Northeast,24,24,6.13,10.21,245.04
100010,2024-01-21,SKU-0001,Electronics Accessories,Midwest,10,10,6.13,10.21,102.1
100011,2024-01-21,SKU-0001,Electronics Accessories,South,24,24,6.13,10.21,245.04
100012,2024-01-21,SKU-0001,Electronics Accessories,West,24,24,6.13,10.21,245.04
100013,2024-01-28,SKU-0001,Electronics Accessories,Northeast,13,13,6.13,10.21,132.73
100014,2024-01-28,SKU-0001,Electronics Accessories,Midwest,6,6,6.13,10.21,61.26
100015,2024-01-28,SKU-0001,Electronics Accessories,South,13,13,6.13,10.21,132.73
100016,2024-01-28,SKU-0001,Electronics Accessories,West,13,13,6.13,10.21,132.73
100017,2024-02-04,SKU-0001,Electronics Accessories,Northeast,14,14,6.13,10.21,142.94
100018,2024-02-04,SKU-0001,Electronics Accessories,Midwest,6,6,6.13,10.21,61.26
100019,2024-02-04,SKU-0001,Electronics Accessories,South,14,14,6.13,10.21,142.94
100020,2024-02-04,SKU-0001,Electronics Accessories,West,14,14,6.13,10.21,142.94
100021,2024-02-11,SKU-0001,Electronics Accessories,Northeast,13,13,6.13,10.21,132.73
100022,2024-02-11,SKU-0001,Electronics Accessories,Midwest,5,5,6.13,10.21,51.05
100023,2024-02-11,SKU-0001,Electronics Accessories,South,12,12,6.13,10.21,122.52
100024,2024-02-11,SKU-0001,Electronics Accessories,West,13,13,6.13,10.21,132.73
100025,2024-02-18,SKU-0001,Electronics Accessories,Northeast,19,19,6.13,10.21,193.99
100026,2024-02-18,SKU-0001,Electronics Accessories,Midwest,8,8,6.13,10.21,81.68
100027,2024-02-18,SKU-0001,Electronics Accessories,South,19,19,6.13,10.21,193.99
100028,2024-02-18,SKU-0001,Electronics Accessories,West,19,19,6.13,10.21,193.99
100029,2024-02-25,SKU-0001,Electronics Accessories,Northeast,15,10,6.13,10.21,102.1
100030,2024-02-25,SKU-0001,Electronics Accessories,Midwest,6,4,6.13,10.21,40.84
100031,2024-02-25,SKU-0001,Electronics Accessories,South,15,10,6.13,10.21,102.1
100032,2024-02-25,SKU-0001,Electronics Accessories,West,15,10,6.13,10.21,102.1
100033,2024-03-03,SKU-0001,Electronics Accessories,Northeast,21,0,6.13,10.21,0.0
100034,2024-03-03,SKU-0001,Electronics Accessories,Midwest,9,0,6.13,10.21,0.0
100035,2024-03-03,SKU-0001,Electronics Accessories,South,21,0,6.13,10.21,0.0
100036,2024-03-03,SKU-0001,Electronics Accessories,West,21,0,6.13,10.21,0.0
100037,2024-03-10,SKU-0001,Electronics Accessories,Northeast,9,0,6.13,10.21,0.0
100038,2024-03-10,SKU-0001,Electronics Accessories,Midwest,4,0,6.13,10.21,0.0
100039,2024-03-10,SKU-0001,Electronics Accessories,South,9,0,6.13,10.21,0.0
100040,2024-03-10,SKU-0001,Electronics Accessories,West,9,0,6.13,10.21,0.0
100041,2024-03-17,SKU-0001,Electronics Accessories,Northeast,28,28,6.13,10.21,285.88
100042,2024-03-17,SKU-0001,Electronics Accessories,Midwest,12,12,6.13,10.21,122.52
100043,2024-03-17,SKU-0001,Electronics Accessories,South,28,28,6.13,10.21,285.88
100044,2024-03-17,SKU-0001,Electronics Accessories,West,28,28,6.13,10.21,285.88
100045,2024-03-24,SKU-0001,Electronics Accessories,Northeast,16,16,6.13,10.21,163.36
100046,2024-03-24,SKU-0001,Electronics Accessories,Midwest,7,7,6.13,10.21,71.47
100047,2024-03-24,SKU-0001,Electronics Accessories,South,16,16,6.13,10.21,163.36
100048,2024-03-24,SKU-0001,Electronics Accessories,West,16,16,6.13,10.21,163.36
100049,2024-03-31,SKU-0001,Electronics Accessories,Northeast,21,21,6.13,10.21,214.41
100050,2024-03-31,SKU-0001,Electronics Accessories,Midwest,9,9,6.13,10.21,91.89
100051,2024-03-31,SKU-0001,Electronics Accessories,South,21,21,6.13,10.21,214.41
100052,2024-03-31,SKU-0001,Electronics Accessories,West,21,21,6.13,10.21,214.41
100053,2024-04-07,SKU-0001,Electronics Accessories,Northeast,17,11,6.13,10.21,112.31
100054,2024-04-07,SKU-0001,Electronics Accessories,Midwest,7,5,6.13,10.21,51.05
100055,2024-04-07,SKU-0001,Electronics Accessories,South,17,11,6.13,10.21,112.31
100056,2024-04-07,SKU-0001,Electronics Accessories,West,17,11,6.13,10.21,112.31
100057,2024-04-14,SKU-0001,Electronics Accessories,Northeast,15,0,6.13,10.21,0.0
100058,2024-04-14,SKU-0001,Electronics Accessories,Midwest,6,0,6.13,10.21,0.0
100059,2024-04-14,SKU-0001,Electronics Accessories,South,15,0,6.13,10.21,0.0
100060,2024-04-14,SKU-0001,Electronics Accessories,West,15,0,6.13,10.21,0.0
100061,2024-04-21,SKU-0001,Electronics Accessories,Northeast,20,0,6.13,10.21,0.0
100062,2024-04-21,SKU-0001,Electronics Accessories,Midwest,9,0,6.13,10.21,0.0
100063,2024-04-21,SKU-0001,Electronics Accessories,South,20,0,6.13,10.21,0.0
100064,2024-04-21,SKU-0001,Electronics Accessories,West,21,0,6.13,10.21,0.0
100065,2024-04-28,SKU-0001,Electronics Accessories,Northeast,23,23,6.13,10.21,234.83
100066,2024-04-28,SKU-0001,Electronics Accessories,Midwest,10,10,6.13,10.21,102.1
100067,2024-04-28,SKU-0001,Electronics Accessories,South,23,23,6.13,10.21,234.83
100068,2024-04-28,SKU-0001,Electronics Accessories,West,23,23,6.13,10.21,234.83
100069,2024-05-05,SKU-0001,Electronics Accessories,Northeast,17,17,6.13,10.21,173.57
100070,2024-05-05,SKU-0001,Electronics Accessories,Midwest,7,7,6.13,10.21,71.47
100071,2024-05-05,SKU-0001,Electronics Accessories,South,17,17,6.13,10.21,173.57
100072,2024-05-05,SKU-0001,Electronics Accessories,West,17,17,6.13,10.21,173.57
100073,2024-05-12,SKU-0001,Electronics Accessories,Northeast,17,17,6.13,10.21,173.57
100074,2024-05-12,SKU-0001,Electronics Accessories,Midwest,7,7,6.13,10.21,71.47
100075,2024-05-12,SKU-0001,Electronics Accessories,South,17,17,6.13,10.21,173.57
100076,2024-05-12,SKU-0001,Electronics Accessories,West,17,17,6.13,10.21,173.57
100077,2024-05-19,SKU-0001,Electronics Accessories,Northeast,23,20,6.13,10.21,204.2
100078,2024-05-19,SKU-0001,Electronics Accessories,Midwest,10,8,6.13,10.21,81.68
100079,2024-05-19,SKU-0001,Electronics Accessories,South,23,19,6.13,10.21,193.99
100080,2024-05-19,SKU-0001,Electronics Accessories,West,23,20,6.13,10.21,204.2
100081,2024-05-26,SKU-0001,Electronics Accessories,Northeast,13,0,6.13,10.21,0.0
100082,2024-05-26,SKU-0001,Electronics Accessories,Midwest,6,0,6.13,10.21,0.0
100083,2024-05-26,SKU-0001,Electronics Accessories,South,13,0,6.13,10.21,0.0
100084,2024-05-26,SKU-0001,Electronics Accessories,West,13,0,6.13,10.21,0.0
100085,2024-06-02,SKU-0001,Electronics Accessories,Northeast,11,0,6.13,10.21,0.0
100086,2024-06-02,SKU-0001,Electronics Accessories,Midwest,5,0,6.13,10.21,0.0
100087,2024-06-02,SKU-0001,Electronics Accessories,South,11,0,6.13,10.21,0.0
100088,2024-06-02,SKU-0001,Electronics Accessories,West,11,0,6.13,10.21,0.0
100089,2024-06-09,SKU-0001,Electronics Accessories,Northeast,21,21,6.13,10.21,214.41
100090,2024-06-09,SKU-0001,Electronics Accessories,Midwest,9,9,6.13,10.21,91.89
100091,2024-06-09,SKU-0001,Electronics Accessories,South,21,21,6.13,10.21,214.41
100092,2024-06-09,SKU-0001,Electronics Accessories,West,21,21,6.13,10.21,214.41
100093,2024-06-16,SKU-0001,Electronics Accessories,Northeast,15,15,6.13,10.21,153.15
100094,2024-06-16,SKU-0001,Electronics Accessories,Midwest,6,6,6.13,10.21,61.26
100095,2024-06-16,SKU-0001,Electronics Accessories,South,15,15,6.13,10.21,153.15
100096,2024-06-16,SKU-0001,Electronics Accessories,West,15,15,6.13,10.21,153.15
100097,2024-06-23,SKU-0001,Electronics Accessories,Northeast,9,9,6.13,10.21,91.89
100098,2024-06-23,SKU-0001,Electronics Accessories,Midwest,4,4,6.13,10.21,40.84
100099,2024-06-23,SKU-0001,Electronics Accessories,South,9,9,6.13,10.21,91.89
100100,2024-06-23,SKU-0001,Electronics Accessories,West,9,9,6.13,10.21,91.89
100101,2024-06-30,SKU-0001,Electronics Accessories,Northeast,14,14,6.13,10.21,142.94
100102,2024-06-30,SKU-0001,Electronics Accessories,Midwest,6,6,6.13,10.21,61.26
100103,2024-06-30,SKU-0001,Electronics Accessories,South,14,14,6.13,10.21,142.94
100104,2024-06-30,SKU-0001,Electronics Accessories,West,14,14,6.13,10.21,142.94
100105,2024-07-07,SKU-0001,Electronics Accessories,Northeast,15,15,6.13,10.21,153.15
100106,2024-07-07,SKU-0001,Electronics Accessories,Midwest,6,6,6.13,10.21,61.26
100107,2024-07-07,SKU-0001,Electronics Accessories,South,15,15,6.13,10.21,153.15
100108,2024-07-07,SKU-0001,Electronics Accessories,West,15,15,6.13,10.21,153.15
100109,2024-07-14,SKU-0001,Electronics Accessories,Northeast,12,12,6.13,10.21,122.52
100110,2024-07-14,SKU-0001,Electronics Accessories,Midwest,5,5,6.13,10.21,51.05
100111,2024-07-14,SKU-0001,Electronics Accessories,South,12,12,6.13,10.21,122.52
100112,2024-07-14,SKU-0001,Electronics Accessories,West,12,12,6.13,10.21,122.52
100113,2024-07-21,SKU-0001,Electronics Accessories,Northeast,11,11,6.13,10.21,112.31
100114,2024-07-21,SKU-0001,Electronics Accessories,Midwest,4,4,6.13,10.21,40.84
100115,2024-07-21,SKU-0001,Electronics Accessories,South,10,10,6.13,10.21,102.1
100116,2024-07-21,SKU-0001,Electronics Accessories,West,11,11,6.13,10.21,112.31
100117,2024-07-28,SKU-0001,Electronics Accessories,Northeast,18,18,6.13,10.21,183.78
100118,2024-07-28,SKU-0001,Electronics Accessories,Midwest,8,8,6.13,10.21,81.68
100119,2024-07-28,SKU-0001,Electronics Accessories,South,18,18,6.13,10.21,183.78
100120,2024-07-28,SKU-0001,Electronics Accessories,West,18,18,6.13,10.21,183.78
100121,2024-08-04,SKU-0001,Electronics Accessories,Northeast,25,25,6.13,10.21,255.25
100122,2024-08-04,SKU-0001,Electronics Accessories,Midwest,11,11,6.13,10.21,112.31
100123,2024-08-04,SKU-0001,Electronics Accessories,South,25,25,6.13,10.21,255.25
100124,2024-08-04,SKU-0001,Electronics Accessories,West,25,25,6.13,10.21,255.25
