sku,category,unit_cost,unit_price,base_weekly_demand,demand_cv,lead_time_days_mean,lead_time_days_std,reorder_point_current
SKU-0001,Electronics Accessories,6.13,10.21,65.2,0.359,41.5,12.4,196.0
SKU-0002,Electronics Accessories,23.33,38.99,74.0,0.454,48.5,6.4,222.0
SKU-0003,Electronics Accessories,24.4,38.18,61.9,0.346,51.6,14.7,186.0
SKU-0004,Electronics Accessories,8.01,12.26,70.2,0.507,41.1,14.5,211.0
SKU-0005,Electronics Accessories,18.9,32.44,54.2,0.583,38.8,12.7,163.0
SKU-0006,Electronics Accessories,29.0,42.53,220.0,0.558,39.2,11.3,660.0
SKU-0007,Electronics Accessories,9.29,15.91,50.7,0.245,38.2,14.3,152.0
SKU-0008,Electronics Accessories,35.72,57.56,165.4,0.593,48.0,14.5,496.0
SKU-0009,Electronics Accessories,36.73,58.15,62.0,0.394,49.3,10.5,186.0
SKU-0010,Electronics Accessories,24.78,36.53,56.1,0.399,41.1,8.0,168.0
SKU-0011,Electronics Accessories,18.79,28.88,61.2,0.562,45.1,11.9,184.0
SKU-0012,Electronics Accessories,21.9,34.53,56.3,0.54,42.0,14.1,169.0
SKU-0013,Electronics Accessories,18.65,26.78,70.3,0.235,32.2,10.9,211.0
SKU-0014,Electronics Accessories,20.56,32.27,75.4,0.716,38.0,9.8,226.0
SKU-0015,Electronics Accessories,29.25,44.5,106.9,0.481,41.0,14.5,321.0
SKU-0016,Electronics Accessories,11.14,18.95,54.5,0.401,42.2,8.2,164.0
SKU-0017,Electronics Accessories,10.65,16.39,195.1,0.773,42.9,12.3,585.0
SKU-0018,Electronics Accessories,32.96,51.63,65.9,0.191,36.6,13.3,198.0
SKU-0019,Electronics Accessories,18.35,27.05,57.0,0.205,45.6,9.0,171.0
SKU-0020,Electronics Accessories,17.56,26.31,69.9,0.253,48.0,17.2,210.0
SKU-0021,Electronics Accessories,23.53,36.91,51.8,0.387,37.3,16.0,155.0
SKU-0022,Electronics Accessories,20.51,34.49,51.6,0.31,39.0,7.4,155.0
SKU-0023,Electronics Accessories,20.62,32.34,80.2,0.571,42.1,9.5,241.0
SKU-0024,Electronics Accessories,29.0,47.24,66.9,0.433,40.2,10.9,201.0
SKU-0025,Electronics Accessories,12.9,18.59,123.4,0.729,38.8,8.2,370.0
SKU-0026,Electronics Accessories,9.82,15.65,59.7,0.588,35.0,11.2,179.0
SKU-0027,Electronics Accessories,16.43,28.1,60.8,0.51,41.9,12.3,182.0
SKU-0028,Electronics Accessories,12.25,17.69,78.8,0.388,41.3,8.0,236.0
SKU-0029,Electronics Accessories,30.82,44.9,60.9,0.361,43.4,11.9,183.0
SKU-0030,Electronics Accessories,23.79,40.31,50.9,0.48,40.6,11.5,153.0
SKU-0031,Electronics Accessories,14.59,21.77,55.9,0.495,43.8,10.0,168.0
SKU-0032,Electronics Accessories,26.07,38.33,73.6,0.56,41.3,14.0,221.0
SKU-0033,Electronics Accessories,37.9,59.65,63.4,0.537,39.8,17.5,190.0
SKU-0034,Electronics Accessories,12.5,19.81,86.3,0.525,46.2,18.8,259.0
SKU-0035,Home & Kitchen,29.46,53.43,30.0,0.475,27.7,8.2,90.0
SKU-0036,Home & Kitchen,39.13,74.47,25.5,0.373,21.0,6.3,76.0
SKU-0037,Home & Kitchen,18.11,29.55,41.2,0.331,26.3,11.2,124.0
SKU-0038,Home & Kitchen,43.38,77.03,24.2,0.259,31.6,8.4,73.0
SKU-0039,Home & Kitchen,14.16,22.48,26.1,0.381,30.6,9.3,78.0
SKU-0040,Home & Kitchen,20.65,34.19,33.5,0.456,25.8,10.6,100.0
SKU-0041,Home & Kitchen,28.44,54.97,29.9,0.385,23.8,12.1,90.0
SKU-0042,Home & Kitchen,42.18,79.06,28.8,0.476,29.2,1.7,86.0
SKU-0043,Home & Kitchen,11.02,19.26,160.0,0.71,24.6,7.4,480.0
SKU-0044,Home & Kitchen,33.2,61.74,28.3,0.422,28.0,11.7,85.0
SKU-0045,Home & Kitchen,45.58,82.38,24.9,0.156,33.0,10.3,75.0
SKU-0046,Home & Kitchen,47.62,89.27,27.3,0.393,28.7,7.4,82.0
SKU-0047,Home & Kitchen,43.7,81.48,34.9,0.579,29.8,7.9,105.0
SKU-0048,Home & Kitchen,27.73,42.99,24.4,0.565,29.6,8.2,73.0
SKU-0049,Home & Kitchen,33.76,62.32,35.0,0.39,30.8,7.1,105.0
SKU-0050,Home & Kitchen,26.21,41.65,56.3,0.463,22.9,7.4,169.0
SKU-0051,Home & Kitchen,41.5,78.87,28.8,0.291,29.8,11.7,86.0
SKU-0052,Home & Kitchen,13.49,21.64,24.1,0.3,28.6,8.0,72.0
SKU-0053,Home & Kitchen,16.96,33.07,25.1,0.616,27.2,7.5,75.0
SKU-0054,Home & Kitchen,30.25,46.89,26.0,0.227,24.5,11.1,78.0
SKU-0055,Home & Kitchen,29.39,45.82,28.0,0.564,28.8,9.3,84.0
SKU-0056,Home & Kitchen,19.59,33.15,26.6,0.307,23.7,8.1,80.0
SKU-0057,Home & Kitchen,13.79,22.12,39.8,0.297,25.3,6.8,119.0
SKU-0058,Home & Kitchen,39.48,64.71,29.8,0.411,28.9,7.3,89.0
SKU-0059,Home & Kitchen,37.54,65.91,25.0,0.364,29.6,12.5,75.0
SKU-0060,Home & Kitchen,16.43,26.1,23.8,0.169,29.2,3.3,71.0
SKU-0061,Home & Kitchen,18.84,37.34,25.0,0.459,27.5,3.9,75.0
SKU-0062,Home & Kitchen,51.0,79.2,25.1,0.451,35.2,8.5,75.0
SKU-0063,Home & Kitchen,19.12,32.95,34.8,0.391,27.4,5.2,104.0
SKU-0064,Home & Kitchen,43.77,80.48,25.7,0.509,31.4,10.6,77.0
SKU-0065,Home & Kitchen,22.18,35.5,48.9,0.416,26.8,7.2,147.0
SKU-0066,Home & Kitchen,36.04,60.01,29.5,0.48,27.4,8.5,88.0
SKU-0067,Office Supplies,16.91,28.47,108.8,0.397,9.9,2.5,326.0
SKU-0068,Office Supplies,3.19,6.24,146.8,0.378,8.5,3.0,440.0
SKU-0069,Office Supplies,5.17,9.72,300.0,0.7,9.2,2.1,900.0
SKU-0070,Office Supplies,14.91,28.13,268.6,0.839,9.1,3.3,806.0
SKU-0071,Office Supplies,12.27,22.76,106.3,0.519,9.8,3.5,319.0
SKU-0072,Office Supplies,8.09,15.26,220.6,0.585,10.1,3.9,662.0
SKU-0073,Office Supplies,15.23,28.06,181.3,0.339,10.8,2.0,544.0
SKU-0074,Office Supplies,13.41,22.54,239.8,0.632,11.3,1.6,719.0
SKU-0075,Office Supplies,10.93,21.85,299.8,0.564,10.5,2.3,899.0
SKU-0076,Office Supplies,4.94,8.88,161.3,0.43,10.5,2.1,484.0
SKU-0077,Office Supplies,9.16,16.83,145.3,0.723,9.6,3.2,436.0
SKU-0078,Office Supplies,8.03,14.34,239.0,0.627,12.3,2.1,717.0
SKU-0079,Office Supplies,3.17,6.74,184.1,0.398,8.8,1.8,552.0
SKU-0080,Office Supplies,8.72,18.33,119.8,0.351,8.3,2.7,359.0
SKU-0081,Office Supplies,9.33,17.15,176.0,0.603,8.7,3.9,528.0
SKU-0082,Office Supplies,13.3,27.46,120.4,0.286,8.8,4.2,361.0
SKU-0083,Office Supplies,9.12,15.44,170.6,0.428,7.7,2.6,512.0
SKU-0084,Office Supplies,8.03,15.92,133.0,0.472,8.7,2.9,399.0
SKU-0085,Office Supplies,12.1,21.25,117.6,0.688,9.8,2.3,353.0
SKU-0086,Office Supplies,6.1,10.34,120.9,0.379,9.9,2.1,363.0
SKU-0087,Office Supplies,5.13,8.85,102.3,0.474,9.8,2.3,307.0
SKU-0088,Office Supplies,16.77,33.44,242.4,0.559,10.3,3.0,727.0
SKU-0089,Office Supplies,7.5,13.36,131.8,0.321,9.3,2.7,395.0
SKU-0090,Office Supplies,9.06,17.98,119.4,0.484,9.8,2.6,358.0
SKU-0091,Office Supplies,6.53,14.33,132.4,0.45,9.3,3.1,397.0
SKU-0092,Office Supplies,9.59,16.04,179.7,0.561,9.8,2.6,539.0
SKU-0093,Office Supplies,4.95,9.76,139.8,0.548,10.3,3.3,419.0
SKU-0094,Office Supplies,4.57,9.9,120.6,0.436,10.8,3.4,362.0
SKU-0095,Office Supplies,12.61,24.73,164.5,0.589,11.4,3.9,494.0
SKU-0096,Office Supplies,16.18,27.76,151.5,0.621,9.8,1.5,454.0
SKU-0097,Personal Care,16.04,27.17,163.8,0.536,19.8,5.6,491.0
SKU-0098,Personal Care,16.35,27.17,136.4,0.622,12.5,4.8,409.0
SKU-0099,Personal Care,3.67,6.76,126.6,0.719,20.3,5.5,380.0
SKU-0100,Personal Care,17.53,32.77,124.2,0.447,17.9,6.4,373.0
SKU-0101,Personal Care,19.38,33.47,222.3,0.665,18.4,7.0,667.0
SKU-0102,Personal Care,10.19,19.65,184.8,0.494,17.6,4.7,554.0
SKU-0103,Personal Care,21.3,40.95,127.8,0.336,16.2,5.5,383.0
SKU-0104,Personal Care,11.92,23.86,177.9,0.724,19.0,5.7,534.0
SKU-0105,Personal Care,4.46,7.57,108.6,0.457,20.2,3.6,326.0
SKU-0106,Personal Care,11.85,20.09,137.0,0.448,19.4,5.4,411.0
SKU-0107,Personal Care,13.87,25.26,132.2,0.482,19.8,4.1,397.0
SKU-0108,Personal Care,4.27,7.96,148.8,0.82,22.0,5.1,446.0
SKU-0109,Personal Care,12.91,22.72,125.2,0.498,16.0,5.2,376.0
SKU-0110,Personal Care,18.44,33.27,109.1,0.289,15.1,6.0,327.0
SKU-0111,Personal Care,3.79,6.71,115.1,0.522,19.2,4.5,345.0
SKU-0112,Personal Care,21.12,39.19,116.5,0.455,16.0,6.7,350.0
SKU-0113,Personal Care,17.29,32.17,159.7,0.527,17.6,6.1,479.0
SKU-0114,Personal Care,14.07,25.52,116.3,0.453,23.1,6.4,349.0
SKU-0115,Personal Care,5.57,10.24,114.9,0.743,17.5,4.5,345.0
SKU-0116,Personal Care,10.07,18.51,172.4,0.671,17.0,7.9,517.0
SKU-0117,Personal Care,18.54,37.79,240.0,0.782,13.9,6.0,720.0
SKU-0118,Personal Care,20.3,33.07,195.9,0.71,17.3,2.5,588.0
SKU-0119,Personal Care,20.51,33.61,117.4,0.461,16.8,4.5,352.0
SKU-0120,Personal Care,17.16,30.71,106.7,0.513,20.2,8.0,320.0
SKU-0121,Personal Care,17.26,28.59,152.6,0.45,15.6,4.2,458.0
SKU-0122,Personal Care,3.24,6.51,182.6,0.648,15.0,5.4,548.0
SKU-0123,Personal Care,12.65,21.19,117.8,0.492,16.9,4.1,353.0
SKU-0124,Personal Care,7.11,11.81,181.3,0.826,22.0,7.0,544.0
SKU-0125,Outdoor & Sporting,66.28,98.14,44.4,0.532,40.6,5.3,133.0
SKU-0126,Outdoor & Sporting,44.12,71.65,39.6,0.364,37.2,7.2,119.0
SKU-0127,Outdoor & Sporting,69.83,106.11,62.6,0.338,32.4,11.1,188.0
SKU-0128,Outdoor & Sporting,63.51,117.37,48.4,0.448,28.9,7.7,145.0
SKU-0129,Outdoor & Sporting,66.74,106.31,41.4,0.502,32.4,4.1,124.0
SKU-0130,Outdoor & Sporting,36.89,58.94,43.1,0.498,35.4,11.9,129.0
SKU-0131,Outdoor & Sporting,55.24,91.92,45.3,0.513,36.6,11.2,136.0
SKU-0132,Outdoor & Sporting,24.03,37.48,49.7,0.445,35.8,5.9,149.0
SKU-0133,Outdoor & Sporting,29.39,49.74,48.7,0.328,28.2,9.2,146.0
SKU-0134,Outdoor & Sporting,55.39,86.75,120.0,0.711,32.4,11.7,360.0
SKU-0135,Outdoor & Sporting,44.68,69.32,41.5,0.568,45.3,7.0,124.0
SKU-0136,Outdoor & Sporting,19.25,33.13,57.3,0.595,30.4,8.5,172.0
