customer_id,signup_month,contract_type,plan_tier,addon_count,monthly_charge,autopay,signup_channel,region,tenure_months,months_observable,avg_engagement_score,support_tickets_90d,churned
CUST-00001,2024-04,Month-to-month,Basic,2,32.4,No,Paid Search,Northeast,5,20,52.5,1,Yes
CUST-00002,2023-12,Two year,Standard,2,49.97,Yes,Referral,Northeast,1,24,84.5,0,Yes
CUST-00003,2025-11,One year,Standard,2,49.2,Yes,Paid Search,Northeast,1,1,71.2,0,No
CUST-00004,2023-12,One year,Premium,0,68.59,No,Paid Search,Northeast,13,24,67.0,0,Yes
CUST-00005,2024-10,Month-to-month,Standard,0,36.62,Yes,Referral,Northeast,14,14,57.5,0,No
CUST-00006,2024-09,Two year,Basic,0,16.28,Yes,Organic,South,13,15,85.3,0,Yes
CUST-00007,2024-05,Two year,Standard,1,40.25,Yes,Referral,South,19,19,73.1,0,No
CUST-00008,2025-03,One year,Premium,0,65.98,Yes,Organic,Midwest,9,9,72.8,0,No
CUST-00009,2023-07,Month-to-month,Basic,4,43.44,Yes,Paid Search,Northeast,22,29,64.8,0,Yes
CUST-00010,2025-10,Month-to-month,Basic,0,14.99,No,Organic,Midwest,2,2,45.4,0,No
CUST-00011,2025-03,Month-to-month,Standard,3,57.43,No,Referral,South,9,9,49.2,0,No
CUST-00012,2024-12,Month-to-month,Basic,1,21.87,No,Sales-Assisted,Midwest,12,12,54.0,0,No
CUST-00013,2024-07,Month-to-month,Premium,2,76.83,Yes,Organic,Midwest,2,17,61.7,0,Yes
CUST-00014,2024-12,One year,Basic,3,33.77,Yes,Referral,Midwest,4,12,86.5,0,Yes
CUST-00015,2025-08,Month-to-month,Basic,1,26.97,No,Paid Search,South,4,4,91.3,0,No
CUST-00016,2025-10,Month-to-month,Standard,0,33.39,No,Paid Search,South,2,2,65.2,0,No
CUST-00017,2025-11,Month-to-month,Basic,1,19.58,No,Organic,West,1,1,88.1,0,No
CUST-00018,2025-10,Month-to-month,Standard,2,49.13,Yes,Sales-Assisted,South,2,2,62.6,0,Yes
CUST-00019,2025-07,Two year,Basic,0,15.49,Yes,Organic,South,5,5,68.5,1,No
CUST-00020,2023-07,One year,Standard,0,35.73,Yes,Organic,Northeast,13,29,29.7,1,Yes
CUST-00021,2025-06,Month-to-month,Basic,0,21.01,Yes,Paid Search,West,6,6,38.6,2,No
CUST-00022,2024-05,Month-to-month,Basic,1,19.96,Yes,Paid Search,South,1,19,79.4,0,Yes
CUST-00023,2024-02,Month-to-month,Standard,2,48.37,Yes,Referral,Northeast,3,22,97.5,0,Yes
CUST-00024,2025-05,Month-to-month,Premium,3,86.91,Yes,Referral,West,7,7,56.1,0,No
CUST-00025,2025-03,One year,Basic,1,23.21,Yes,Organic,South,9,9,65.3,0,No
CUST-00026,2024-11,Month-to-month,Standard,2,49.23,Yes,Organic,South,13,13,89.5,1,No
CUST-00027,2025-04,One year,Basic,1,20.4,Yes,Organic,West,8,8,44.6,3,No
CUST-00028,2023-07,Month-to-month,Standard,1,43.2,Yes,Referral,West,29,29,50.8,1,No
CUST-00029,2025-06,Month-to-month,Basic,1,23.23,No,Referral,Northeast,2,6,60.6,1,Yes
CUST-00030,2023-09,One year,Standard,1,45.86,Yes,Organic,Midwest,27,27,73.3,0,No
CUST-00031,2023-12,One year,Basic,0,13.59,Yes,Organic,Northeast,24,24,86.8,0,No
CUST-00032,2023-11,Month-to-month,Basic,2,29.3,No,Organic,West,3,25,97.5,0,Yes
CUST-00033,2025-08,Month-to-month,Basic,3,38.96,Yes,Sales-Assisted,Northeast,4,4,53.1,0,No
CUST-00034,2024-12,Month-to-month,Basic,1,23.4,No,Paid Search,Midwest,9,12,70.0,0,Yes
CUST-00035,2024-05,Month-to-month,Standard,3,56.94,Yes,Organic,South,2,19,99.1,0,Yes
CUST-00036,2024-09,Month-to-month,Basic,3,40.03,Yes,Paid Search,South,15,15,70.4,0,No
CUST-00037,2024-04,Month-to-month,Basic,1,21.3,Yes,Organic,West,20,20,93.6,0,No
CUST-00038,2024-04,Month-to-month,Standard,1,41.68,Yes,Paid Search,West,18,20,60.6,0,Yes
CUST-00039,2024-04,Month-to-month,Basic,0,14.44,No,Paid Search,South,20,20,82.1,0,No
CUST-00040,2025-10,Month-to-month,Basic,0,11.62,No,Organic,Northeast,1,2,44.3,0,Yes
CUST-00041,2023-08,One year,Standard,0,34.39,No,Referral,Northeast,25,28,51.3,1,Yes
CUST-00042,2024-07,Month-to-month,Standard,1,40.45,No,Organic,West,17,17,47.7,2,No
CUST-00043,2023-09,One year,Basic,0,14.18,Yes,Paid Search,West,2,27,57.4,0,Yes
CUST-00044,2025-04,Two year,Premium,2,80.34,No,Organic,Northeast,8,8,64.3,0,No
CUST-00045,2025-01,Two year,Standard,0,34.07,No,Paid Search,West,11,11,67.1,0,No
CUST-00046,2023-10,One year,Standard,2,51.97,Yes,Sales-Assisted,Northeast,26,26,49.0,0,No
CUST-00047,2025-06,Month-to-month,Basic,0,16.31,No,Sales-Assisted,Northeast,6,6,55.7,0,No
CUST-00048,2025-10,Month-to-month,Basic,0,15.87,No,Organic,West,2,2,63.5,0,No
CUST-00049,2025-01,One year,Standard,1,39.9,Yes,Paid Search,South,11,11,43.6,1,No
CUST-00050,2024-04,Month-to-month,Standard,3,60.24,No,Sales-Assisted,South,1,20,71.0,0,Yes
CUST-00051,2025-08,Month-to-month,Basic,1,22.24,Yes,Paid Search,West,4,4,74.3,0,No
CUST-00052,2023-10,Two year,Premium,2,81.5,Yes,Paid Search,Northeast,26,26,68.6,0,No
CUST-00053,2025-02,Month-to-month,Standard,0,33.73,Yes,Organic,West,1,10,48.2,0,Yes
CUST-00054,2025-05,One year,Basic,0,18.51,Yes,Paid Search,South,7,7,95.9,0,No
CUST-00055,2024-08,One year,Standard,0,37.14,Yes,Paid Search,South,16,16,73.9,0,No
CUST-00056,2023-10,Month-to-month,Basic,0,13.04,Yes,Paid Search,West,26,26,69.7,1,No
CUST-00057,2023-10,One year,Basic,0,14.63,No,Paid Search,South,26,26,70.0,0,No
CUST-00058,2023-10,Two year,Basic,0,16.78,Yes,Organic,Northeast,26,26,66.9,0,No
CUST-00059,2025-03,One year,Basic,1,24.73,Yes,Organic,Northeast,9,9,70.8,0,No
CUST-00060,2025-11,Month-to-month,Basic,0,16.32,No,Paid Search,Midwest,1,1,28.0,0,No
CUST-00061,2024-01,Month-to-month,Basic,1,24.69,No,Organic,South,23,23,57.7,0,No
