month,category,region,profit_variance,discount_variance_pts,cogs_variance_pts
2024-01,Electronics Accessories,Northeast,-1771.0,0.0107,0.0007
2024-02,Electronics Accessories,Northeast,-5103.0,0.01,0.0337
2024-03,Electronics Accessories,Northeast,-2492.0,0.004,0.0118
2024-04,Electronics Accessories,Northeast,-2403.0,-0.0025,0.0132
2024-05,Electronics Accessories,Northeast,-3427.0,0.001,0.0219
2024-06,Electronics Accessories,Northeast,-4276.0,-0.0082,0.0249
2024-07,Electronics Accessories,Northeast,-3222.0,0.0176,0.0178
2024-08,Electronics Accessories,Northeast,-2719.0,-0.0016,0.0157
2024-09,Electronics Accessories,Northeast,-2932.0,0.0012,0.0263
2024-10,Electronics Accessories,Northeast,-8285.0,-0.0049,0.0353
2024-11,Electronics Accessories,Northeast,-9176.0,-0.0027,0.0365
2024-12,Electronics Accessories,Northeast,-11416.0,0.0032,0.0391
2025-01,Electronics Accessories,Northeast,-8015.0,0.0105,0.0177
2025-02,Electronics Accessories,Northeast,-10577.0,0.0214,0.0219
2025-03,Electronics Accessories,Northeast,-5636.0,-0.0035,0.0364
2025-04,Electronics Accessories,Northeast,-4754.0,-0.0028,0.0135
2025-05,Electronics Accessories,Northeast,-3795.0,-0.001,0.0078
2025-06,Electronics Accessories,Northeast,-4907.0,-0.0319,0.0289
2025-07,Electronics Accessories,Northeast,-3644.0,-0.0091,0.0312
2025-08,Electronics Accessories,Northeast,-2341.0,-0.0127,0.0277
2025-09,Electronics Accessories,Northeast,-3713.0,0.0036,0.03
2025-10,Electronics Accessories,Northeast,-2892.0,0.0077,0.0275
2025-11,Electronics Accessories,Northeast,5660.0,-0.0068,0.0314
2025-12,Electronics Accessories,Northeast,-5960.0,-0.0009,0.0318
2024-01,Electronics Accessories,West,-1222.0,-0.0128,0.0208
2024-02,Electronics Accessories,West,-735.0,0.0079,0.004
2024-03,Electronics Accessories,West,-6556.0,-0.0077,0.0317
2024-04,Electronics Accessories,West,5074.0,0.003,0.0113
2024-05,Electronics Accessories,West,-7361.0,-0.0037,0.0283
2024-06,Electronics Accessories,West,-11962.0,-0.004,0.0212
2024-07,Electronics Accessories,West,-4487.0,-0.0144,0.0202
2024-08,Electronics Accessories,West,-9067.0,-0.0041,0.0135
2024-09,Electronics Accessories,West,-691.0,-0.0231,0.0291
2024-10,Electronics Accessories,West,351.0,-0.0001,0.0227
2024-11,Electronics Accessories,West,-18340.0,-0.0071,0.0562
2024-12,Electronics Accessories,West,-11476.0,0.002,0.0481
2025-01,Electronics Accessories,West,-11402.0,0.0128,0.0435
2025-02,Electronics Accessories,West,-2156.0,-0.0005,0.0314
2025-03,Electronics Accessories,West,-1263.0,0.0007,0.0298
2025-04,Electronics Accessories,West,-6177.0,0.0032,0.0304
2025-05,Electronics Accessories,West,-9881.0,-0.0061,0.0418
2025-06,Electronics Accessories,West,-11879.0,0.0074,0.0312
2025-07,Electronics Accessories,West,-21560.0,-0.0043,0.0585
2025-08,Electronics Accessories,West,-16775.0,0.0023,0.0537
2025-09,Electronics Accessories,West,-10690.0,-0.0112,0.0418
2025-10,Electronics Accessories,West,-17049.0,0.0021,0.0593
2025-11,Electronics Accessories,West,-12928.0,0.0024,0.0507
2025-12,Electronics Accessories,West,-15023.0,-0.0053,0.0593
2024-01,Outdoor & Sporting,Midwest,-198.0,0.0232,-0.0024
2024-02,Outdoor & Sporting,Midwest,-1851.0,0.021,-0.0037
2024-03,Outdoor & Sporting,Midwest,-3439.0,0.0212,-0.0052
2024-04,Outdoor & Sporting,Midwest,1150.0,0.0124,-0.0136
2024-05,Outdoor & Sporting,Midwest,870.0,0.0107,0.0004
2024-06,Outdoor & Sporting,Midwest,-3810.0,0.0306,0.0243
2024-07,Outdoor & Sporting,Midwest,-1370.0,0.0327,-0.0033
2024-08,Outdoor & Sporting,Midwest,-313.0,-0.0019,-0.0034
2024-09,Outdoor & Sporting,Midwest,424.0,0.0059,0.0054
2024-10,Outdoor & Sporting,Midwest,1456.0,0.0085,-0.0125
2024-11,Outdoor & Sporting,Midwest,-4717.0,0.0214,0.0027
2024-12,Outdoor & Sporting,Midwest,-704.0,0.0211,0.0057
2025-01,Outdoor & Sporting,Midwest,-1451.0,0.0153,0.0127
2025-02,Outdoor & Sporting,Midwest,-503.0,0.0211,0.0063
2025-03,Outdoor & Sporting,Midwest,-3412.0,0.0351,0.0075
2025-04,Outdoor & Sporting,Midwest,-1436.0,0.0604,0.0044
2025-05,Outdoor & Sporting,Midwest,2464.0,0.0351,-0.0146
2025-06,Outdoor & Sporting,Midwest,-5493.0,0.039,-0.0015
2025-07,Outdoor & Sporting,Midwest,1764.0,0.0169,-0.0067
2025-08,Outdoor & Sporting,Midwest,-1150.0,0.0362,-0.0055
2025-09,Outdoor & Sporting,Midwest,-2476.0,0.0418,0.0047
2025-10,Outdoor & Sporting,Midwest,-2049.0,0.023,0.0043
2025-11,Outdoor & Sporting,Midwest,-2875.0,0.0387,-0.0016
2025-12,Outdoor & Sporting,Midwest,-1665.0,0.0507,-0.0045
2024-01,Outdoor & Sporting,South,-1377.0,0.0307,-0.0046
2024-02,Outdoor & Sporting,South,-1644.0,0.0406,-0.0019
2024-03,Outdoor & Sporting,South,-2918.0,0.0069,0.0036
