month,region,category,budget_revenue,budget_discount_pct,budget_cogs_pct,actual_revenue,actual_discount_pct,actual_cogs_pct,budget_net_revenue,budget_cogs,budget_profit,actual_net_revenue,actual_cogs,actual_profit,profit_variance
2024-01,Northeast,Electronics Accessories,156793.46,0.1,0.62,153721.33,0.1107,0.6207,141114.11,87490.75,53623.36,136704.38,84852.41,51851.97,-1771.39
2024-02,Northeast,Electronics Accessories,154535.63,0.1,0.62,154921.35,0.11,0.6537,139082.07,86230.88,52851.19,137880.0,90132.16,47747.84,-5103.35
2024-03,Northeast,Electronics Accessories,168152.27,0.1,0.62,166763.41,0.104,0.6318,151337.04,93828.96,57508.08,149420.02,94403.57,55016.45,-2491.63
2024-04,Northeast,Electronics Accessories,174828.19,0.1,0.62,173359.9,0.0975,0.6332,157345.37,97554.13,59791.24,156457.31,99068.77,57388.54,-2402.7
2024-05,Northeast,Electronics Accessories,179789.83,0.1,0.62,180352.71,0.101,0.6419,161810.85,100322.73,61488.12,162137.09,104075.8,58061.29,-3426.83
2024-06,Northeast,Electronics Accessories,184807.22,0.1,0.62,182721.57,0.0918,0.6449,166326.5,103122.43,63204.07,165947.73,107019.69,58928.04,-4276.03
2024-07,Northeast,Electronics Accessories,182577.27,0.1,0.62,185287.84,0.1176,0.6378,164319.54,101878.11,62441.43,163497.99,104279.02,59218.97,-3222.46
2024-08,Northeast,Electronics Accessories,189490.12,0.1,0.62,189026.88,0.0984,0.6357,170541.11,105735.49,64805.62,170426.64,108340.22,62086.42,-2719.2
2024-09,Northeast,Electronics Accessories,194632.94,0.1,0.62,200161.19,0.1012,0.6463,175169.65,108605.18,66564.47,179904.88,116272.52,63632.36,-2932.11
2024-10,Northeast,Electronics Accessories,205434.27,0.1,0.62,198685.42,0.0951,0.6553,184890.84,114632.32,70258.52,179790.44,117816.68,61973.76,-8284.76
2024-11,Northeast,Electronics Accessories,244597.79,0.1,0.62,240186.96,0.0973,0.6565,220138.01,136485.57,83652.44,216816.77,142340.21,74476.56,-9175.88
2024-12,Northeast,Electronics Accessories,231245.96,0.1,0.62,221347.67,0.1032,0.6591,208121.36,129035.24,79086.12,198504.59,130834.38,67670.21,-11415.91
