month,department,hires,terminations
2024-01,Customer Support,10,0
2024-02,Customer Support,11,1
2024-03,Customer Support,9,0
2024-04,Customer Support,10,0
2024-05,Customer Support,8,3
2024-06,Customer Support,8,2
2024-07,Customer Support,10,1
2024-08,Customer Support,8,3
2024-09,Customer Support,8,2
2024-10,Customer Support,8,2
2024-11,Customer Support,8,0
2024-12,Customer Support,10,3
2025-01,Customer Support,9,2
2025-02,Customer Support,12,0
2025-03,Customer Support,10,3
2025-04,Customer Support,10,1
2025-05,Customer Support,9,5
2025-06,Customer Support,10,2
2025-07,Customer Support,8,4
2025-08,Customer Support,12,1
2025-09,Customer Support,9,1
2025-10,Customer Support,8,1
2025-11,Customer Support,12,5
2025-12,Customer Support,8,2
2024-01,Engineering,8,0
2024-02,Engineering,11,0
2024-03,Engineering,9,1
2024-04,Engineering,11,2
2024-05,Engineering,10,3
2024-06,Engineering,8,2
2024-07,Engineering,8,3
2024-08,Engineering,11,3
2024-09,Engineering,10,5
2024-10,Engineering,12,2
2024-11,Engineering,9,3
2024-12,Engineering,12,0
2025-01,Engineering,10,2
2025-02,Engineering,9,2
2025-03,Engineering,10,4
2025-04,Engineering,11,3
2025-05,Engineering,7,4
2025-06,Engineering,11,2
2025-07,Engineering,9,4
2025-08,Engineering,6,0
2025-09,Engineering,10,4
2025-10,Engineering,10,2
2025-11,Engineering,11,3
2025-12,Engineering,12,3
2024-01,Finance & Accounting,6,0
2024-02,Finance & Accounting,9,0
2024-03,Finance & Accounting,6,0
2024-04,Finance & Accounting,7,0
2024-05,Finance & Accounting,9,4
2024-06,Finance & Accounting,10,1
2024-07,Finance & Accounting,10,2
2024-08,Finance & Accounting,12,2
2024-09,Finance & Accounting,11,0
2024-10,Finance & Accounting,11,4
2024-11,Finance & Accounting,8,4
2024-12,Finance & Accounting,7,2
2025-01,Finance & Accounting,7,4
2025-02,Finance & Accounting,8,0
2025-03,Finance & Accounting,9,2
2025-04,Finance & Accounting,10,1
2025-05,Finance & Accounting,9,5
2025-06,Finance & Accounting,7,3
2025-07,Finance & Accounting,7,1
2025-08,Finance & Accounting,8,2
2025-09,Finance & Accounting,9,2
2025-10,Finance & Accounting,7,2
2025-11,Finance & Accounting,10,1
2025-12,Finance & Accounting,8,1
2024-01,Marketing,9,0
2024-02,Marketing,6,1
2024-03,Marketing,9,0
2024-04,Marketing,9,2
2024-05,Marketing,10,1
2024-06,Marketing,8,0
2024-07,Marketing,9,6
2024-08,Marketing,9,2
2024-09,Marketing,8,1
2024-10,Marketing,9,3
2024-11,Marketing,7,3
2024-12,Marketing,8,2
2025-01,Marketing,7,3
2025-02,Marketing,8,5
2025-03,Marketing,10,3
2025-04,Marketing,8,0
2025-05,Marketing,6,5
2025-06,Marketing,10,0
2025-07,Marketing,10,2
2025-08,Marketing,7,2
2025-09,Marketing,9,4
2025-10,Marketing,8,5
2025-11,Marketing,9,5
2025-12,Marketing,9,2
2024-01,Sales,6,0
2024-02,Sales,11,0
2024-03,Sales,11,2
2024-04,Sales,9,1
2024-05,Sales,7,0
2024-06,Sales,10,1
2024-07,Sales,9,2
2024-08,Sales,6,1
2024-09,Sales,8,2
2024-10,Sales,7,2
2024-11,Sales,11,3
2024-12,Sales,7,4
2025-01,Sales,8,2
2025-02,Sales,10,1
2025-03,Sales,10,1
2025-04,Sales,7,3
2025-05,Sales,9,4
2025-06,Sales,9,3
2025-07,Sales,7,3
2025-08,Sales,9,1
2025-09,Sales,11,0
2025-10,Sales,8,3
2025-11,Sales,8,2
2025-12,Sales,12,5
2024-01,Warehouse & Ops,9,0
2024-02,Warehouse & Ops,5,2
2024-03,Warehouse & Ops,6,0
2024-04,Warehouse & Ops,7,2
2024-05,Warehouse & Ops,4,1
2024-06,Warehouse & Ops,7,0
2024-07,Warehouse & Ops,8,1
2024-08,Warehouse & Ops,4,0
2024-09,Warehouse & Ops,5,4
2024-10,Warehouse & Ops,6,1
2024-11,Warehouse & Ops,8,1
2024-12,Warehouse & Ops,7,4
2025-01,Warehouse & Ops,8,1
2025-02,Warehouse & Ops,6,2
2025-03,Warehouse & Ops,6,1
2025-04,Warehouse & Ops,7,2
2025-05,Warehouse & Ops,5,2
2025-06,Warehouse & Ops,7,4
2025-07,Warehouse & Ops,6,2
2025-08,Warehouse & Ops,8,4
2025-09,Warehouse & Ops,7,2
2025-10,Warehouse & Ops,5,2
2025-11,Warehouse & Ops,7,3
2025-12,Warehouse & Ops,5,2
