employee_id,hire_month,department,channel,level,comp_ratio,manager_span,overtime_hours_monthly,avg_engagement_score,tenure_months,months_observable,terminated_voluntary
EMP-00001,2024-01,Sales,Job Board,Mid,1.061,5,0.0,25.1,2,23,Yes
EMP-00002,2024-02,Sales,Job Board,Entry,0.961,7,0.3,85.7,22,22,No
EMP-00003,2024-02,Sales,Job Board,Manager,0.989,5,2.9,54.3,22,22,No
EMP-00004,2024-03,Sales,Job Board,Entry,0.905,8,2.8,61.2,21,21,No
EMP-00005,2024-03,Sales,Job Board,Mid,0.935,3,7.2,32.9,16,21,Yes
EMP-00006,2024-03,Sales,Job Board,Entry,1.048,7,5.1,35.6,19,21,Yes
EMP-00007,2024-04,Sales,Job Board,Entry,0.996,4,16.5,45.3,20,20,No
EMP-00008,2024-04,Sales,Job Board,Entry,0.797,7,7.0,71.2,5,20,Yes
EMP-00009,2024-05,Sales,Job Board,Entry,0.887,9,0.0,47.1,19,19,No
EMP-00010,2024-05,Sales,Job Board,Entry,0.976,8,8.8,56.7,19,19,Yes
EMP-00011,2024-06,Sales,Job Board,Entry,1.018,5,7.0,65.3,18,18,No
EMP-00012,2024-07,Sales,Job Board,Senior,1.087,3,6.4,67.0,17,17,No
EMP-00013,2024-07,Sales,Job Board,Senior,0.899,5,4.4,65.6,4,17,Yes
EMP-00014,2024-08,Sales,Job Board,Mid,1.028,7,11.2,97.1,16,16,No
EMP-00015,2024-09,Sales,Job Board,Entry,0.959,8,5.5,89.5,15,15,No
EMP-00016,2024-09,Sales,Job Board,Mid,0.909,9,0.0,57.3,15,15,No
EMP-00017,2024-10,Sales,Job Board,Mid,1.002,7,0.0,65.6,12,14,Yes
EMP-00018,2024-10,Sales,Job Board,Mid,1.167,4,0.0,68.1,14,14,No
EMP-00019,2024-10,Sales,Job Board,Entry,0.897,10,0.9,40.2,7,14,Yes
EMP-00020,2024-11,Sales,Job Board,Mid,1.039,5,5.3,25.7,13,13,No
EMP-00021,2024-11,Sales,Job Board,Manager,1.071,6,0.0,82.5,13,13,No
EMP-00022,2024-11,Sales,Job Board,Entry,0.918,5,12.7,59.6,13,13,No
EMP-00023,2024-12,Sales,Job Board,Entry,1.122,7,2.0,38.6,1,12,Yes
EMP-00024,2024-12,Sales,Job Board,Senior,0.992,5,10.6,44.3,12,12,Yes
EMP-00025,2025-01,Sales,Job Board,Mid,0.929,6,0.0,47.0,11,11,No
EMP-00026,2025-01,Sales,Job Board,Senior,0.992,5,10.4,27.2,11,11,No
EMP-00027,2025-02,Sales,Job Board,Mid,0.939,7,16.3,63.1,9,10,Yes
EMP-00028,2025-02,Sales,Job Board,Entry,1.027,3,8.4,80.8,1,10,Yes
EMP-00029,2025-03,Sales,Job Board,Mid,1.051,7,0.0,45.3,2,9,Yes
EMP-00030,2025-04,Sales,Job Board,Manager,1.152,4,6.7,46.4,8,8,No
EMP-00031,2025-04,Sales,Job Board,Senior,0.947,3,4.0,79.7,8,8,No
EMP-00032,2025-05,Sales,Job Board,Mid,0.946,10,5.8,100.0,1,7,Yes
EMP-00033,2025-05,Sales,Job Board,Manager,1.265,6,0.0,45.3,7,7,No
EMP-00034,2025-06,Sales,Job Board,Entry,1.035,8,8.2,48.6,6,6,No
EMP-00035,2025-06,Sales,Job Board,Entry,0.75,4,8.6,33.2,6,6,No
EMP-00036,2025-07,Sales,Job Board,Entry,1.068,3,9.0,70.5,5,5,No
EMP-00037,2025-08,Sales,Job Board,Entry,1.008,6,4.5,71.2,4,4,No
EMP-00038,2025-08,Sales,Job Board,Entry,0.986,7,10.6,75.3,4,4,No
EMP-00039,2025-09,Sales,Job Board,Mid,0.93,10,14.3,83.2,3,3,No
EMP-00040,2025-09,Sales,Job Board,Mid,1.073,8,0.0,65.0,3,3,No
EMP-00041,2025-10,Sales,Job Board,Mid,0.959,7,15.3,36.0,2,2,Yes
EMP-00042,2025-10,Sales,Job Board,Mid,1.061,8,10.1,47.9,2,2,No
EMP-00043,2025-11,Sales,Job Board,Entry,0.918,10,4.2,68.3,1,1,No
EMP-00044,2025-11,Sales,Job Board,Mid,0.882,8,0.0,71.6,1,1,No
EMP-00045,2025-12,Sales,Job Board,Senior,1.108,7,16.6,38.2,1,1,No
