month,department,channel,applied,screened,interviewed,offered,hired
2024-01,Sales,Job Board,17,6,4,2,1
2024-02,Sales,Job Board,21,7,4,3,2
2024-03,Sales,Job Board,32,12,6,4,3
2024-04,Sales,Job Board,28,11,6,3,2
2024-05,Sales,Job Board,19,7,4,2,2
2024-06,Sales,Job Board,24,8,4,2,1
2024-07,Sales,Job Board,24,9,5,3,2
2024-08,Sales,Job Board,13,5,2,1,1
2024-09,Sales,Job Board,22,9,5,3,2
2024-10,Sales,Job Board,25,11,6,4,3
2024-11,Sales,Job Board,26,10,6,4,3
2024-12,Sales,Job Board,17,6,3,2,2
2025-01,Sales,Job Board,26,10,5,3,2
2025-02,Sales,Job Board,26,9,4,3,2
2025-03,Sales,Job Board,19,7,4,2,1
2025-04,Sales,Job Board,27,8,5,3,2
2025-05,Sales,Job Board,20,7,4,2,2
2025-06,Sales,Job Board,22,7,4,2,2
2025-07,Sales,Job Board,18,6,4,2,1
2025-08,Sales,Job Board,16,5,3,2,2
2025-09,Sales,Job Board,26,11,5,3,2
2025-10,Sales,Job Board,20,8,5,3,2
2025-11,Sales,Job Board,20,9,5,3,2
2025-12,Sales,Job Board,28,11,6,4,3
2024-01,Sales,Employee Referral,6,4,3,2,2
2024-02,Sales,Employee Referral,10,7,5,3,3
2024-03,Sales,Employee Referral,6,5,4,3,3
2024-04,Sales,Employee Referral,4,3,2,1,1
2024-05,Sales,Employee Referral,0,0,0,0,0
2024-06,Sales,Employee Referral,8,6,5,4,4
2024-07,Sales,Employee Referral,7,5,4,3,3
2024-08,Sales,Employee Referral,5,3,2,1,1
2024-09,Sales,Employee Referral,6,4,3,2,2
2024-10,Sales,Employee Referral,4,3,2,1,1
2024-11,Sales,Employee Referral,5,4,3,2,2
2024-12,Sales,Employee Referral,3,2,1,1,1
2025-01,Sales,Employee Referral,4,3,2,1,1
2025-02,Sales,Employee Referral,6,4,3,2,2
2025-03,Sales,Employee Referral,7,5,4,3,3
2025-04,Sales,Employee Referral,3,2,2,1,1
2025-05,Sales,Employee Referral,8,6,5,4,3
2025-06,Sales,Employee Referral,3,2,2,1,1
2025-07,Sales,Employee Referral,4,3,3,2,2
2025-08,Sales,Employee Referral,8,6,4,3,3
2025-09,Sales,Employee Referral,9,7,5,4,4
2025-10,Sales,Employee Referral,7,5,4,3,3
2025-11,Sales,Employee Referral,7,5,4,3,3
2025-12,Sales,Employee Referral,10,7,5,4,4
2024-01,Sales,Agency,6,4,2,1,1
2024-02,Sales,Agency,12,8,5,3,3
2024-03,Sales,Agency,6,4,3,2,2
2024-04,Sales,Agency,10,6,3,2,2
2024-05,Sales,Agency,6,4,3,2,2
2024-06,Sales,Agency,7,5,3,2,2
2024-07,Sales,Agency,2,1,1,1,1
2024-08,Sales,Agency,8,5,3,2,2
2024-09,Sales,Agency,2,1,1,1,1
2024-10,Sales,Agency,5,3,2,1,1
2024-11,Sales,Agency,9,6,4,3,2
2024-12,Sales,Agency,11,7,5,3,2
2025-01,Sales,Agency,5,3,2,2,2
2025-02,Sales,Agency,8,4,3,2,2
2025-03,Sales,Agency,8,5,3,2,2
2025-04,Sales,Agency,11,8,5,3,2
2025-05,Sales,Agency,7,4,2,1,1
2025-06,Sales,Agency,9,6,4,3,3
