timestamp,demand_mw,price_gbp_per_mwh,national_renewable_output_mw
2024-01-01 00:00:00,20577.0,39.4,733.5
2024-01-01 01:00:00,18978.3,31.77,1253.0
2024-01-01 02:00:00,17851.7,31.49,1595.5
2024-01-01 03:00:00,16774.0,21.82,1555.0
2024-01-01 04:00:00,16789.1,24.75,1850.0
2024-01-01 05:00:00,20148.2,27.53,1989.0
2024-01-01 06:00:00,25432.4,42.9,2496.5
2024-01-01 07:00:00,29668.7,56.22,2222.0
2024-01-01 08:00:00,32104.1,62.18,1712.5
2024-01-01 09:00:00,31402.8,48.63,3067.5
2024-01-01 10:00:00,30072.1,41.93,4683.0
2024-01-01 11:00:00,27421.0,29.2,6547.5
2024-01-01 12:00:00,25347.6,22.65,6715.5
2024-01-01 13:00:00,25465.6,27.27,5664.0
2024-01-01 14:00:00,26607.9,28.1,4883.5
2024-01-01 15:00:00,28769.1,35.0,3693.0
2024-01-01 16:00:00,32601.2,57.2,2418.0
2024-01-01 17:00:00,34612.7,56.29,1805.0
2024-01-01 18:00:00,36639.4,60.86,2152.5
2024-01-01 19:00:00,35081.5,59.1,2248.0
2024-01-01 20:00:00,32287.1,60.54,2656.5
2024-01-01 21:00:00,28682.9,44.05,3760.5
2024-01-01 22:00:00,26385.2,37.97,2729.5
2024-01-01 23:00:00,23655.8,32.46,1921.0
2024-01-02 00:00:00,20337.9,28.94,2389.0
2024-01-02 01:00:00,19164.2,29.01,1106.5
2024-01-02 02:00:00,17781.8,21.21,1536.0
2024-01-02 03:00:00,16620.0,24.48,1422.0
2024-01-02 04:00:00,17390.5,18.8,1342.0
2024-01-02 05:00:00,20668.3,26.6,2034.5
2024-01-02 06:00:00,26181.3,49.42,1560.5
2024-01-02 07:00:00,29608.2,46.04,1535.0
2024-01-02 08:00:00,31843.7,54.51,1804.0
2024-01-02 09:00:00,31400.2,51.91,2536.0
2024-01-02 10:00:00,29934.4,49.72,3856.5
2024-01-02 11:00:00,27545.0,40.45,4408.5
2024-01-02 12:00:00,25262.0,29.58,5448.0
2024-01-02 13:00:00,24709.7,21.73,5379.5
2024-01-02 14:00:00,26078.0,27.6,4820.5
2024-01-02 15:00:00,29409.1,41.68,3693.0
2024-01-02 16:00:00,32761.0,65.18,2779.0
2024-01-02 17:00:00,35379.8,62.56,2765.5
2024-01-02 18:00:00,35777.5,61.21,2700.0
2024-01-02 19:00:00,35206.1,60.71,2854.0
2024-01-02 20:00:00,32411.4,60.0,2749.5
2024-01-02 21:00:00,29054.2,44.86,2658.0
2024-01-02 22:00:00,26230.9,41.35,2868.0
2024-01-02 23:00:00,23774.1,34.76,2947.5
2024-01-03 00:00:00,20662.7,25.79,3115.5
2024-01-03 01:00:00,19271.3,24.31,3373.0
2024-01-03 02:00:00,17704.4,23.89,3207.5
2024-01-03 03:00:00,16673.7,22.51,2718.5
2024-01-03 04:00:00,16893.3,26.3,3341.5
2024-01-03 05:00:00,20422.1,27.01,2493.5
2024-01-03 06:00:00,25169.0,40.54,2515.0
2024-01-03 07:00:00,29482.7,44.47,2097.5
2024-01-03 08:00:00,31934.4,54.61,1958.5
2024-01-03 09:00:00,32477.2,43.76,3535.0
2024-01-03 10:00:00,29253.7,43.19,3346.0
2024-01-03 11:00:00,27459.5,40.8,4513.0
2024-01-03 12:00:00,24648.4,31.55,4446.5
2024-01-03 13:00:00,24881.1,23.52,5804.0
2024-01-03 14:00:00,26449.6,35.5,5173.0
2024-01-03 15:00:00,29359.4,35.76,4282.0
2024-01-03 16:00:00,32721.5,58.75,1801.5
2024-01-03 17:00:00,35485.4,71.04,2917.5
2024-01-03 18:00:00,35922.8,62.33,3277.5
2024-01-03 19:00:00,34815.0,58.47,2617.0
2024-01-03 20:00:00,32747.2,53.44,2808.5
2024-01-03 21:00:00,28854.9,44.82,4238.0
2024-01-03 22:00:00,25378.4,35.96,4334.5
2024-01-03 23:00:00,23274.8,29.92,4239.0
2024-01-04 00:00:00,20156.4,25.32,3956.5
2024-01-04 01:00:00,19380.1,16.77,4227.5
2024-01-04 02:00:00,17651.8,23.66,4015.5
2024-01-04 03:00:00,16675.2,23.38,3850.5
2024-01-04 04:00:00,17146.6,22.56,3950.5
2024-01-04 05:00:00,20553.1,26.03,3615.0
2024-01-04 06:00:00,25565.6,37.51,4582.5
2024-01-04 07:00:00,29606.5,48.28,3591.0
2024-01-04 08:00:00,32261.1,51.92,3092.5
2024-01-04 09:00:00,31424.8,47.52,6108.0
2024-01-04 10:00:00,29454.0,38.57,6538.0
2024-01-04 11:00:00,26890.3,29.4,7875.5
2024-01-04 12:00:00,24813.6,25.47,6329.5
2024-01-04 13:00:00,25169.6,19.83,5858.5
2024-01-04 14:00:00,26178.8,21.89,5286.5
2024-01-04 15:00:00,29086.1,37.59,5232.0
2024-01-04 16:00:00,32583.9,49.12,3660.5
2024-01-04 17:00:00,35275.3,62.58,1500.5
2024-01-04 18:00:00,36443.5,60.46,1497.5
2024-01-04 19:00:00,34978.8,55.18,2564.5
2024-01-04 20:00:00,32100.5,44.87,2810.5
