month,collected,monthly_target,cumulative_collected,cumulative_target,cumulative_variance
2024-01,77762.99,1526195.51,77762.99,1526195.51,-1448432.52
2024-02,483910.48,1526195.51,561673.47,3052391.02,-2490717.55
2024-03,1203151.48,1526195.51,1764824.95,4578586.53,-2813761.58
2024-04,1371877.01,1526195.51,3136701.96,6104782.04,-2968080.08
2024-05,1246327.52,1526195.51,4383029.48,7630977.55,-3247948.07
2024-06,1639070.27,1526195.51,6022099.75,9157173.06,-3135073.31
2024-07,1627801.26,1526195.51,7649901.01,10683368.57,-3033467.56
2024-08,1347915.67,1526195.51,8997816.68,12209564.08,-3211747.4
2024-09,1492340.1300000001,1526195.51,10490156.81,13735759.59,-3245602.78
2024-10,1283569.1099999999,1526195.51,11773725.92,15261955.1,-3488229.18
2024-11,1700498.73,1526195.51,13474224.65,16788150.61,-3313925.96
2024-12,1445631.01,1526195.51,14919855.66,18314346.12,-3394490.46
2025-01,1002246.13,1526195.51,15922101.79,19840541.63,-3918439.84
2025-02,1866627.99,1526195.51,17788729.78,21366737.14,-3578007.36
2025-03,1418527.43,1526195.51,19207257.21,22892932.65,-3685675.44
2025-04,1558585.66,1526195.51,20765842.87,24419128.16,-3653285.29
2025-05,1581002.1,1526195.51,22346844.97,25945323.67,-3598478.7
2025-06,1378435.1400000001,1526195.51,23725280.11,27471519.18,-3746239.07
2025-07,1449260.35,1526195.51,25174540.46,28997714.69,-3823174.23
2025-08,1374861.0,1526195.51,26549401.46,30523910.2,-3974508.74
2025-09,1533451.61,1526195.51,28082853.07,32050105.71,-3967252.64
2025-10,1551553.89,1526195.51,29634406.96,33576301.22,-3941894.26
2025-11,1646823.22,1526195.51,31281230.18,35102496.73,-3821266.55
2025-12,1704261.77,1526195.51,32985491.95,36628692.24,-3643200.29
