segment,payment_terms_days,quarter,invoices_paid,dso_weighted_days,days_beyond_terms,dso_3q_trailing_avg
Enterprise,60,2024-Q1,51,60.1,0.10000000000000142,60.1
Enterprise,60,2024-Q2,64,59.7,-0.29999999999999716,59.9
Enterprise,60,2024-Q3,53,61.4,1.3999999999999986,60.4
Enterprise,60,2024-Q4,59,60.7,0.7000000000000028,60.6
Enterprise,60,2025-Q1,59,60.7,0.7000000000000028,60.9
Enterprise,60,2025-Q2,60,59.2,-0.7999999999999972,60.2
Enterprise,60,2025-Q3,58,60.0,0.0,60.0
Enterprise,60,2025-Q4,23,61.3,1.2999999999999972,60.2
Mid-Market,30,2024-Q1,80,31.3,1.3000000000000007,31.3
Mid-Market,30,2024-Q2,75,34.0,4.0,32.6
Mid-Market,30,2024-Q3,88,33.2,3.200000000000003,32.8
Mid-Market,30,2024-Q4,79,32.3,2.299999999999997,33.2
Mid-Market,30,2025-Q1,69,30.5,0.5,32.0
Mid-Market,30,2025-Q2,76,32.2,2.200000000000003,31.7
Mid-Market,30,2025-Q3,78,32.6,2.6000000000000014,31.8
Mid-Market,30,2025-Q4,61,32.8,2.799999999999997,32.5
SMB,15,2024-Q1,92,18.5,3.5,18.5
SMB,15,2024-Q2,93,19.0,4.0,18.8
SMB,15,2024-Q3,89,20.4,5.399999999999999,19.3
SMB,15,2024-Q4,96,20.8,5.800000000000001,20.1
SMB,15,2025-Q1,89,17.7,2.6999999999999993,19.6
SMB,15,2025-Q2,79,18.6,3.6000000000000014,19.0
SMB,15,2025-Q3,82,21.3,6.300000000000001,19.2
SMB,15,2025-Q4,74,18.4,3.3999999999999986,19.4
