customer_id,customer_name,segment,region,payment_terms_days,risk_tier
C1000,SMB Customer 000,SMB,Northeast,15,Medium
C1001,SMB Customer 001,SMB,South,15,Medium
C1002,Mid-Market Customer 002,Mid-Market,Midwest,30,Low
C1003,Mid-Market Customer 003,Mid-Market,South,30,Low
C1004,SMB Customer 004,SMB,West,15,Low
C1005,SMB Customer 005,SMB,Midwest,15,High
C1006,SMB Customer 006,SMB,South,15,Low
C1007,SMB Customer 007,SMB,West,15,Low
C1008,SMB Customer 008,SMB,West,15,Medium
C1009,SMB Customer 009,SMB,Midwest,15,Low
C1010,Mid-Market Customer 010,Mid-Market,Midwest,30,Low
C1011,SMB Customer 011,SMB,Northeast,15,Low
C1012,SMB Customer 012,SMB,South,15,Low
C1013,Mid-Market Customer 013,Mid-Market,South,30,Low
C1014,Enterprise Customer 014,Enterprise,West,60,Low
C1015,SMB Customer 015,SMB,Midwest,15,High
C1016,SMB Customer 016,SMB,South,15,Medium
C1017,Enterprise Customer 017,Enterprise,Midwest,60,Low
C1018,SMB Customer 018,SMB,South,15,Low
C1019,SMB Customer 019,SMB,Midwest,15,Low
C1020,SMB Customer 020,SMB,West,15,Low
C1021,SMB Customer 021,SMB,South,15,Low
C1022,Mid-Market Customer 022,Mid-Market,West,30,High
C1023,SMB Customer 023,SMB,Northeast,15,Low
C1024,Enterprise Customer 024,Enterprise,West,60,Low
C1025,SMB Customer 025,SMB,South,15,Low
C1026,SMB Customer 026,SMB,South,15,Medium
C1027,Mid-Market Customer 027,Mid-Market,Northeast,30,Low
C1028,Enterprise Customer 028,Enterprise,Midwest,60,Low
C1029,SMB Customer 029,SMB,South,15,Low
C1030,SMB Customer 030,SMB,South,15,Low
C1031,Mid-Market Customer 031,Mid-Market,West,30,Low
C1032,SMB Customer 032,SMB,South,15,Medium
C1033,SMB Customer 033,SMB,West,15,High
C1034,SMB Customer 034,SMB,Northeast,15,Low
C1035,Mid-Market Customer 035,Mid-Market,West,30,Low
C1036,Mid-Market Customer 036,Mid-Market,Northeast,30,Low
C1037,Enterprise Customer 037,Enterprise,West,60,Low
C1038,Mid-Market Customer 038,Mid-Market,Northeast,30,Low
C1039,SMB Customer 039,SMB,Midwest,15,Low
C1040,Enterprise Customer 040,Enterprise,West,60,Low
C1041,SMB Customer 041,SMB,Midwest,15,Low
C1042,Mid-Market Customer 042,Mid-Market,South,30,Medium
C1043,Mid-Market Customer 043,Mid-Market,Midwest,30,Low
C1044,SMB Customer 044,SMB,South,15,High
C1045,Mid-Market Customer 045,Mid-Market,South,30,Low
C1046,SMB Customer 046,SMB,South,15,Low
C1047,SMB Customer 047,SMB,West,15,Low
C1048,SMB Customer 048,SMB,Midwest,15,Medium
C1049,Mid-Market Customer 049,Mid-Market,South,30,Low
C1050,SMB Customer 050,SMB,West,15,Low
C1051,Enterprise Customer 051,Enterprise,Northeast,60,Low
C1052,SMB Customer 052,SMB,South,15,High
C1053,Mid-Market Customer 053,Mid-Market,West,30,Low
C1054,Mid-Market Customer 054,Mid-Market,South,30,Low
C1055,SMB Customer 055,SMB,Northeast,15,Low
C1056,SMB Customer 056,SMB,Midwest,15,Low
C1057,Mid-Market Customer 057,Mid-Market,South,30,Low
C1058,SMB Customer 058,SMB,Midwest,15,Medium
C1059,Mid-Market Customer 059,Mid-Market,South,30,Medium
C1060,Mid-Market Customer 060,Mid-Market,Northeast,30,Low
C1061,SMB Customer 061,SMB,Midwest,15,High
C1062,SMB Customer 062,SMB,Northeast,15,Low
C1063,SMB Customer 063,SMB,South,15,Low
C1064,SMB Customer 064,SMB,West,15,Medium
C1065,SMB Customer 065,SMB,West,15,Low
C1066,Mid-Market Customer 066,Mid-Market,Northeast,30,Low
C1067,SMB Customer 067,SMB,Midwest,15,High
C1068,Enterprise Customer 068,Enterprise,Northeast,60,Low
C1069,SMB Customer 069,SMB,West,15,Low
C1070,Enterprise Customer 070,Enterprise,Midwest,60,Medium
C1071,SMB Customer 071,SMB,Northeast,15,Low
C1072,SMB Customer 072,SMB,South,15,Low
C1073,SMB Customer 073,SMB,South,15,Medium
C1074,SMB Customer 074,SMB,South,15,Medium
C1075,SMB Customer 075,SMB,Midwest,15,Low
C1076,SMB Customer 076,SMB,South,15,Low
C1077,SMB Customer 077,SMB,South,15,Low
C1078,Enterprise Customer 078,Enterprise,Northeast,60,Low
C1079,Mid-Market Customer 079,Mid-Market,South,30,Low
C1080,SMB Customer 080,SMB,Northeast,15,Low
C1081,SMB Customer 081,SMB,Midwest,15,Low
C1082,SMB Customer 082,SMB,Northeast,15,Low
C1083,Enterprise Customer 083,Enterprise,Midwest,60,Low
C1084,SMB Customer 084,SMB,Northeast,15,High
C1085,Mid-Market Customer 085,Mid-Market,Midwest,30,Low
C1086,SMB Customer 086,SMB,Northeast,15,Low
C1087,Mid-Market Customer 087,Mid-Market,Northeast,30,Low
C1088,SMB Customer 088,SMB,Northeast,15,Medium
C1089,SMB Customer 089,SMB,South,15,Low
C1090,SMB Customer 090,SMB,Northeast,15,Low
C1091,SMB Customer 091,SMB,Midwest,15,Low
C1092,Enterprise Customer 092,Enterprise,West,60,Medium
C1093,Mid-Market Customer 093,Mid-Market,Midwest,30,Low
C1094,SMB Customer 094,SMB,Northeast,15,Low
C1095,Mid-Market Customer 095,Mid-Market,West,30,Medium
C1096,SMB Customer 096,SMB,Northeast,15,Low
C1097,SMB Customer 097,SMB,South,15,Low
C1098,SMB Customer 098,SMB,Midwest,15,Low
C1099,SMB Customer 099,SMB,South,15,Medium
C1100,SMB Customer 100,SMB,South,15,Low
C1101,SMB Customer 101,SMB,Northeast,15,Medium
C1102,SMB Customer 102,SMB,Midwest,15,Low
C1103,SMB Customer 103,SMB,Northeast,15,Low
C1104,SMB Customer 104,SMB,South,15,High
C1105,SMB Customer 105,SMB,South,15,Low
C1106,SMB Customer 106,SMB,South,15,High
C1107,Mid-Market Customer 107,Mid-Market,Midwest,30,Medium
C1108,SMB Customer 108,SMB,Northeast,15,High
C1109,SMB Customer 109,SMB,West,15,High
C1110,SMB Customer 110,SMB,South,15,Low
C1111,SMB Customer 111,SMB,Midwest,15,High
C1112,Mid-Market Customer 112,Mid-Market,South,30,Medium
C1113,SMB Customer 113,SMB,Midwest,15,Low
C1114,SMB Customer 114,SMB,West,15,Medium
C1115,Enterprise Customer 115,Enterprise,West,60,Low
C1116,SMB Customer 116,SMB,Northeast,15,Low
C1117,Mid-Market Customer 117,Mid-Market,Midwest,30,Low
C1118,SMB Customer 118,SMB,West,15,Low
C1119,Enterprise Customer 119,Enterprise,Northeast,60,Low
C1120,SMB Customer 120,SMB,South,15,Low
C1121,SMB Customer 121,SMB,South,15,Low
C1122,Mid-Market Customer 122,Mid-Market,Midwest,30,Low
C1123,SMB Customer 123,SMB,South,15,Medium
C1124,Enterprise Customer 124,Enterprise,Northeast,60,Low
C1125,Mid-Market Customer 125,Mid-Market,Northeast,30,Medium
C1126,Mid-Market Customer 126,Mid-Market,South,30,Low
C1127,SMB Customer 127,SMB,Northeast,15,Low
C1128,SMB Customer 128,SMB,West,15,Medium
C1129,SMB Customer 129,SMB,Midwest,15,Low
C1130,Mid-Market Customer 130,Mid-Market,South,30,Medium
C1131,SMB Customer 131,SMB,Midwest,15,Medium
C1132,Mid-Market Customer 132,Mid-Market,South,30,Low
C1133,Mid-Market Customer 133,Mid-Market,Northeast,30,Medium
C1134,SMB Customer 134,SMB,West,15,Low
C1135,Mid-Market Customer 135,Mid-Market,West,30,Low
C1136,SMB Customer 136,SMB,Northeast,15,Low
C1137,Mid-Market Customer 137,Mid-Market,South,30,Medium
C1138,Enterprise Customer 138,Enterprise,Northeast,60,Low
C1139,SMB Customer 139,SMB,West,15,Low
C1140,Enterprise Customer 140,Enterprise,South,60,Low
C1141,Mid-Market Customer 141,Mid-Market,West,30,Medium
