order_id,customer_id,order_date,order_amount
O000001,C1000,2024-11-30,4029.48
O000002,C1000,2025-03-20,1356.21
O000003,C1000,2025-06-06,907.72
O000004,C1001,2024-04-26,1918.19
O000005,C1001,2024-06-18,2358.57
O000006,C1001,2024-10-13,3289.1
O000007,C1001,2024-12-18,1163.99
O000008,C1001,2024-12-22,2643.7
O000009,C1001,2025-07-07,1709.01
O000010,C1001,2025-12-04,4720.46
O000011,C1002,2024-01-07,11085.69
O000012,C1002,2024-01-11,12747.75
O000013,C1002,2024-03-04,9380.41
O000014,C1002,2024-04-22,6357.61
O000015,C1002,2024-06-13,12550.75
O000016,C1002,2024-08-26,26843.39
O000017,C1002,2024-10-13,21074.45
O000018,C1002,2024-10-14,18138.23
O000019,C1002,2024-10-27,4739.37
O000020,C1002,2024-11-24,9072.17
O000021,C1002,2025-02-08,8975.78
O000022,C1002,2025-04-07,11002.39
O000023,C1002,2025-05-06,4948.98
O000024,C1002,2025-06-24,2252.95
O000025,C1002,2025-07-02,13631.87
O000026,C1002,2025-07-20,10242.78
O000027,C1002,2025-08-27,11704.97
O000028,C1002,2025-10-08,8352.71
O000029,C1002,2025-10-15,7751.44
O000030,C1002,2025-11-22,15509.76
O000031,C1002,2025-12-15,8584.51
O000032,C1003,2024-02-20,9037.58
O000033,C1003,2024-03-01,11629.93
O000034,C1003,2024-03-06,6969.1
O000035,C1003,2024-04-15,14112.34
O000036,C1003,2024-06-24,4472.3
O000037,C1003,2024-06-27,10249.34
O000038,C1003,2024-07-25,9471.65
O000039,C1003,2024-08-23,12230.65
O000040,C1003,2024-10-20,9819.49
O000041,C1003,2024-10-20,9742.3
O000042,C1003,2024-10-21,9381.49
O000043,C1003,2024-11-29,11453.85
O000044,C1003,2025-02-03,5465.3
O000045,C1003,2025-05-09,22862.4
O000046,C1003,2025-05-12,6304.36
O000047,C1003,2025-12-09,10981.28
O000048,C1003,2025-12-28,20990.95
O000049,C1004,2024-01-19,2903.78
O000050,C1004,2024-01-28,4450.56
O000051,C1004,2024-02-24,1683.58
O000052,C1004,2024-03-22,1451.38
O000053,C1004,2024-04-16,1646.44
O000054,C1004,2024-12-07,2087.21
O000055,C1004,2025-03-04,3871.65
O000056,C1004,2025-04-02,817.31
O000057,C1004,2025-10-17,1917.08
O000058,C1004,2025-11-02,1361.77
O000059,C1004,2025-11-27,9088.75
O000060,C1005,2024-04-23,1921.54
O000061,C1005,2024-10-03,2198.84
O000062,C1005,2024-10-08,1924.72
O000063,C1005,2024-12-16,2028.65
O000064,C1005,2025-05-23,2258.46
O000065,C1005,2025-07-21,1235.64
O000066,C1005,2025-07-23,1452.32
O000067,C1005,2025-08-08,5646.34
O000068,C1005,2025-09-12,3380.65
O000069,C1005,2025-12-01,2707.84
O000070,C1005,2025-12-23,2268.86
O000071,C1006,2024-08-18,1954.09
O000072,C1006,2024-11-22,1766.08
O000073,C1006,2025-12-26,2610.14
O000074,C1007,2024-01-11,1349.18
