payment_id,invoice_id,payment_date,payment_amount
P000001,INV000001,2024-12-17,2956.66
P000002,INV000001,2024-12-24,1072.82
P000003,INV000002,2025-04-11,1356.21
P000004,INV000003,2025-07-01,907.72
P000005,INV000004,2024-05-21,1918.19
P000006,INV000005,2024-07-08,1735.69
P000007,INV000005,2024-07-11,622.88
P000008,INV000006,2024-11-03,1829.68
P000009,INV000006,2024-11-07,1459.42
P000010,INV000007,2025-01-07,1163.99
P000011,INV000008,2025-01-11,2643.7
P000012,INV000009,2025-07-23,1204.9
P000013,INV000009,2025-07-28,504.11
P000014,INV000010,2025-12-25,4720.46
P000015,INV000011,2024-02-06,5660.12
P000016,INV000011,2024-02-09,5425.57
P000017,INV000012,2024-02-08,12747.75
P000018,INV000013,2024-04-04,9380.41
P000019,INV000014,2024-05-21,3743.92
P000020,INV000014,2024-05-27,2613.69
P000021,INV000015,2024-07-11,12550.75
P000022,INV000016,2024-09-25,26843.39
P000023,INV000017,2024-11-09,21074.45
P000024,INV000018,2024-11-10,18138.23
P000025,INV000019,2024-11-26,4739.37
P000026,INV000020,2024-12-22,9072.17
P000027,INV000021,2025-03-10,8975.78
P000028,INV000022,2025-05-07,11002.39
P000029,INV000023,2025-06-05,4948.98
P000030,INV000024,2025-07-16,2252.95
P000031,INV000025,2025-08-01,13631.87
P000032,INV000026,2025-08-21,10242.78
P000033,INV000027,2025-09-27,11704.97
P000034,INV000028,2025-11-08,8352.71
P000035,INV000029,2025-11-14,7751.44
P000036,INV000030,2025-12-30,15509.76
P000037,INV000032,2024-03-29,9037.58
P000038,INV000034,2024-04-04,6969.1
P000039,INV000035,2024-05-11,14112.34
P000040,INV000036,2024-07-29,4472.3
P000041,INV000037,2024-08-01,10249.34
P000042,INV000038,2024-08-23,9471.65
P000043,INV000039,2024-10-01,12230.65
P000044,INV000040,2024-11-18,9819.49
P000045,INV000041,2024-11-21,9742.3
P000046,INV000042,2024-11-21,5374.09
P000047,INV000042,2024-11-24,4007.4
