order_id,warehouse,category,order_date,promised_ship_date,actual_ship_date,status,units
WO0000001,South-4,Office Supplies,06/22/2026,06/23/2026,2026-06-23,shipped,4
WO0000002,Northeast-1,Electronics,2026-06-22,06/24/2026,2026-06-25,DELAYED,10
WO0000003,West-3,Home Goods,2026-06-22,2026-06-25,06/25/2026,Shipped,3
WO0000004,Midwest-2,Home Goods,06/22/2026,06/24/2026,06/23/2026,SHIPPED,3
WO0000005,Northeast-1,Office Supplies,06/22/2026,2026-06-24,2026-06-24,SHIPPED,6
WO0000006,Midwest-2,Apparel,06/22/2026,2026-06-23,06/23/2026,Shipped,9
WO0000007,South-4,Office Supplies,06/22/2026,06/25/2026,06/24/2026,shipped,10
WO0000008,West-3,Apparel,2026-06-22,2026-06-23,2026-06-23,Shipped,8
WO0000009,Northeast-1,Outdoor,2026-06-22,06/23/2026,06/22/2026, Shipped,4
WO0000010,Midwest-2,Apparel,06/22/2026,06/25/2026,2026-06-25,Shipped,5
WO0000011,West-3,Office Supplies,2026-06-22,06/23/2026,2026-06-23,SHIPPED,8
WO0000012,Midwest-2,Home Goods,2026-06-22,2026-06-23,06/23/2026,shipped,8
WO0000013,Midwest-2,Outdoor,2026-06-22,06/25/2026,06/25/2026,Shipped,6
WO0000014,Northeast-1,Office Supplies,06/22/2026,06/25/2026,06/24/2026,Shipped,2
WO0000015,Northeast-1,Home Goods,2026-06-22,2026-06-24,2026-06-24,SHIPPED,10
WO0000016,South-4,Electronics,06/22/2026,2026-06-23,2026-06-22,shipped,8
WO0000017,Northeast-1,Outdoor,06/22/2026,06/24/2026,2026-06-23, Shipped,8
WO0000018,Northeast-1,Outdoor,2026-06-22,06/24/2026,2026-06-23, Shipped,3
WO0000019,South-4,Apparel,06/22/2026,2026-06-23,06/22/2026,SHIPPED,10
WO0000020,West-3,Office Supplies,06/22/2026,2026-06-25,2026-06-25,shipped,2
WO0000021,West-3,Office Supplies,06/22/2026,2026-06-25,2026-06-24, Shipped,9
WO0000022,South-4,Apparel,06/22/2026,06/23/2026,06/23/2026, Shipped,7
WO0000023,Northeast-1,Outdoor,2026-06-22,2026-06-24,2026-06-23,SHIPPED,8
WO0000024,Midwest-2,Home Goods,2026-06-22,06/24/2026,06/24/2026,Shipped,4
WO0000025,South-4,Home Goods,2026-06-22,2026-06-24,06/24/2026, Shipped,1
WO0000026,Northeast-1,Home Goods,06/22/2026,2026-06-24,,delayed,2
WO0000027,West-3,Apparel,2026-06-22,06/23/2026,2026-06-23,shipped,3
WO0000028,Northeast-1,Apparel,06/22/2026,2026-06-23,2026-06-23,shipped,5
WO0000029,Midwest-2,Outdoor,2026-06-22,06/24/2026,06/24/2026,Shipped,11
WO0000030,Midwest-2,Home Goods,06/22/2026,06/25/2026,06/25/2026, Shipped,1
WO0000031,West-3,Outdoor,2026-06-22,06/25/2026,2026-06-25, Shipped,10
WO0000032,Northeast-1,Apparel,06/22/2026,06/24/2026,06/24/2026, Shipped,7
WO0000033,Northeast-1,Office Supplies,2026-06-22,06/23/2026,06/22/2026,Shipped,3
WO0000034,West-3,Electronics,2026-06-22,2026-06-23,2026-06-22,Shipped,6
WO0000035,South-4,Home Goods,2026-06-22,2026-06-25,06/24/2026,shipped,10
WO0000036,Midwest-2,Apparel,2026-06-22,2026-06-24,2026-06-24, Shipped,7
WO0000037,West-3,Apparel,06/22/2026,2026-06-23,2026-06-23,SHIPPED,9
WO0000038,West-3,Outdoor,06/22/2026,2026-06-24,06/24/2026,SHIPPED,6
WO0000039,South-4,Home Goods,2026-06-22,06/25/2026,06/24/2026, Shipped,10
WO0000040,West-3,Electronics,2026-06-22,2026-06-23,2026-06-23,Shipped,11
WO0000041,West-3,Apparel,06/22/2026,2026-06-23,06/22/2026,shipped,6
WO0000042,Northeast-1,Office Supplies,2026-06-22,2026-06-25,,delayed,9
WO0000043,Northeast-1,Home Goods,2026-06-22,06/23/2026,2026-06-23, Shipped,1
WO0000044,South-4,Home Goods,2026-06-22,2026-06-23,2026-06-22,SHIPPED,4
WO0000045,Northeast-1,Home Goods,2026-06-22,2026-06-23,06/23/2026,shipped,3
WO0000046,West-3,Electronics,2026-06-22,2026-06-24,2026-06-23,SHIPPED,5
WO0000047,Midwest-2,Apparel,2026-06-22,2026-06-23,2026-06-23,Shipped,1
WO0000048,South-4,Office Supplies,06/22/2026,2026-06-24,06/24/2026,shipped,2
WO0000049,West-3,Electronics,2026-06-22,06/25/2026,2026-06-24,shipped,11
WO0000050,West-3,Electronics,06/22/2026,2026-06-24,2026-06-24, Shipped,6
WO0000051,South-4,Outdoor,06/22/2026,06/24/2026,06/24/2026,SHIPPED,6
WO0000052,Midwest-2,Home Goods,2026-06-22,06/25/2026,2026-06-24,shipped,3
WO0000053,Midwest-2,Apparel,2026-06-22,06/25/2026,06/25/2026,shipped,6
WO0000054,Northeast-1,Outdoor,2026-06-22,06/25/2026,2026-06-24,shipped,7
WO0000055,Northeast-1,Apparel,2026-06-22,2026-06-24,06/23/2026,Shipped,5
WO0000056,Midwest-2,Office Supplies,2026-06-22,06/23/2026,2026-06-23,SHIPPED,9
WO0000057,South-4,Office Supplies,06/22/2026,06/24/2026,2026-06-24,Shipped,6
WO0000058,Northeast-1,Apparel,2026-06-22,06/23/2026,2026-06-23,SHIPPED,8
WO0000059,Midwest-2,Apparel,06/22/2026,2026-06-24,06/23/2026,SHIPPED,7
WO0000060,Northeast-1,Home Goods,06/22/2026,06/24/2026,06/24/2026,Shipped,6
WO0000061,Northeast-1,Home Goods,06/22/2026,2026-06-24,06/23/2026, Shipped,10
