week_start,actual,naive,seasonal_naive,holt_winters
2025-06-30,2956,3318,3255.0,3376.4
2025-07-07,3529,3318,3634.0,3704.2
2025-07-14,3238,3318,3623.0,3666.7
2025-07-21,3733,3318,3327.0,3775.1
2025-07-28,3721,3318,4113.0,4375.9
2025-08-04,4369,3318,3846.0,4102.3
2025-08-11,4334,3318,3612.0,4308.3
2025-08-18,4947,3318,4613.0,4703.1
2025-08-25,5426,3318,3856.0,4588.3
2025-09-01,5097,3318,5046.0,5239.7
2025-09-08,5836,3318,5624.0,5519.2
2025-09-15,5710,3318,5889.0,5871.8
2025-09-22,6028,3318,6808.0,6307.1
2025-09-29,6218,3318,6213.0,6395.3
2025-10-06,6221,3318,5712.0,6191.0
2025-10-13,6490,3318,6587.0,6949.9
2025-10-20,7370,3318,6782.0,6566.1
2025-10-27,7588,3318,6340.0,6952.0
2025-11-03,9686,3318,8247.0,8797.9
2025-11-10,7700,3318,6622.0,7037.2
2025-11-17,7840,3318,6521.0,6880.1
2025-11-24,7692,3318,6687.0,7363.4
2025-12-01,6266,3318,6782.0,7372.4
2025-12-08,7270,3318,7198.0,7491.5
2025-12-15,7883,3318,7055.0,7209.3
2025-12-22,7297,3318,7347.0,6745.8
2025-12-29,6966,3318,6320.0,6687.1
2026-01-05,6691,3318,6824.0,6862.3
2026-01-12,6812,3318,5487.0,6225.6
2026-01-19,6314,3318,6074.0,6262.1
2026-01-26,6632,3318,5209.0,6097.6
2026-02-02,5988,3318,5290.0,5634.5
2026-02-09,5777,3318,5804.0,5809.3
2026-02-16,5711,3318,4826.0,5184.6
2026-02-23,5715,3318,5425.0,5489.3
2026-03-02,4951,3318,5248.0,5336.8
2026-03-09,4897,3318,4611.0,4812.2
2026-03-16,4411,3318,4122.0,4610.2
2026-03-23,3900,3318,3713.0,4241.2
2026-03-30,4033,3318,3556.0,3925.4
2026-04-06,5312,3318,3566.0,4181.2
2026-04-13,3732,3318,3173.0,3828.6
2026-04-20,3458,3318,3238.0,3454.2
2026-04-27,3284,3318,2961.0,3381.9
2026-05-04,2959,3318,4224.0,4245.4
2026-05-11,3132,3318,2581.0,3350.9
2026-05-18,3461,3318,3017.0,3302.3
2026-05-25,3053,3318,3102.0,3621.1
2026-06-01,3115,3318,2721.0,3386.3
2026-06-08,3484,3318,3283.0,3521.2
2026-06-15,3287,3318,3384.0,3560.8
2026-06-22,3436,3318,3318.0,3527.9
