week_start,units_sold
2023-01-02,5505
2023-01-09,5914
2023-01-16,5543
2023-01-23,5000
2023-01-30,5288
2023-02-06,4369
2023-02-13,4859
2023-02-20,4285
2023-02-27,4440
2023-03-06,4167
2023-03-13,3630
2023-03-20,3770
2023-03-27,3525
2023-04-03,3115
2023-04-10,3530
2023-04-17,3112
2023-04-24,2583
2023-05-01,2520
2023-05-08,3597
2023-05-15,2616
2023-05-22,2396
2023-05-29,2729
2023-06-05,2549
2023-06-12,2420
2023-06-19,2576
2023-06-26,2706
2023-07-03,2548
2023-07-10,2825
2023-07-17,2761
2023-07-24,3273
2023-07-31,3689
2023-08-07,3409
2023-08-14,4054
2023-08-21,3844
2023-08-28,4370
2023-09-04,4484
2023-09-11,4466
2023-09-18,4906
2023-09-25,4859
2023-10-02,5629
2023-10-09,5721
2023-10-16,6364
2023-10-23,5403
2023-10-30,6615
2023-11-06,8400
2023-11-13,6504
2023-11-20,6291
2023-11-27,7091
2023-12-04,7014
2023-12-11,6837
2023-12-18,6416
2023-12-25,5199
2024-01-01,6344
2024-01-08,5959
2024-01-15,5764
2024-01-22,5817
2024-01-29,5911
2024-02-05,5349
2024-02-12,4873
2024-02-19,4553
2024-02-26,4709
2024-03-04,4699
2024-03-11,4299
2024-03-18,4049
2024-03-25,3598
2024-04-01,3215
2024-04-08,3561
2024-04-15,3313
2024-04-22,2649
2024-04-29,2773
2024-05-06,3025
2024-05-13,2967
2024-05-20,2600
2024-05-27,3139
2024-06-03,2997
2024-06-10,2962
2024-06-17,2825
2024-06-24,2665
2024-07-01,3255
2024-07-08,3634
2024-07-15,3623
2024-07-22,3327
2024-07-29,4113
2024-08-05,3846
2024-08-12,3612
2024-08-19,4613
2024-08-26,3856
2024-09-02,5046
2024-09-09,5624
2024-09-16,5889
2024-09-23,6808
2024-09-30,6213
2024-10-07,5712
2024-10-14,6587
2024-10-21,6782
2024-10-28,6340
2024-11-04,8247
2024-11-11,6622
2024-11-18,6521
2024-11-25,6687
2024-12-02,6782
2024-12-09,7198
2024-12-16,7055
2024-12-23,7347
2024-12-30,6320
2025-01-06,6824
2025-01-13,5487
2025-01-20,6074
2025-01-27,5209
2025-02-03,5290
2025-02-10,5804
2025-02-17,4826
2025-02-24,5425
2025-03-03,5248
2025-03-10,4611
2025-03-17,4122
2025-03-24,3713
2025-03-31,3556
2025-04-07,3566
2025-04-14,3173
2025-04-21,3238
2025-04-28,2961
2025-05-05,4224
2025-05-12,2581
2025-05-19,3017
2025-05-26,3102
2025-06-02,2721
2025-06-09,3283
2025-06-16,3384
2025-06-23,3318
2025-06-30,2956
2025-07-07,3529
2025-07-14,3238
2025-07-21,3733
2025-07-28,3721
2025-08-04,4369
2025-08-11,4334
2025-08-18,4947
2025-08-25,5426
2025-09-01,5097
2025-09-08,5836
2025-09-15,5710
2025-09-22,6028
2025-09-29,6218
2025-10-06,6221
2025-10-13,6490
2025-10-20,7370
2025-10-27,7588
2025-11-03,9686
2025-11-10,7700
2025-11-17,7840
2025-11-24,7692
2025-12-01,6266
2025-12-08,7270
2025-12-15,7883
2025-12-22,7297
2025-12-29,6966
2026-01-05,6691
2026-01-12,6812
2026-01-19,6314
2026-01-26,6632
2026-02-02,5988
2026-02-09,5777
2026-02-16,5711
2026-02-23,5715
2026-03-02,4951
2026-03-09,4897
2026-03-16,4411
2026-03-23,3900
2026-03-30,4033
2026-04-06,5312
2026-04-13,3732
2026-04-20,3458
2026-04-27,3284
2026-05-04,2959
2026-05-11,3132
2026-05-18,3461
2026-05-25,3053
2026-06-01,3115
2026-06-08,3484
2026-06-15,3287
2026-06-22,3436
