hire_id,handson_minutes_run_script,handson_minutes_review_report,total_handson_minutes,all_required_groups_assigned_first_try,vpn_ready_day1,remote_eligible
NH-0003,1.4,0.7,2.1,Y,Y,N
NH-0123,0.8,1.8,2.5,Y,Y,N
NH-0132,0.8,1.1,2.0,Y,Y,Y
NH-0108,1.9,1.4,3.3,Y,Y,Y
NH-0091,0.9,2.0,2.9,Y,Y,N
NH-0025,1.9,2.2,4.1,Y,Y,N
NH-0143,1.7,1.9,3.6,Y,Y,N
NH-0007,1.7,0.8,2.5,Y,Y,N
NH-0100,1.3,1.2,2.5,Y,Y,Y
NH-0040,1.3,1.5,2.8,Y,Y,N
NH-0094,0.9,1.4,2.3,Y,Y,N
NH-0093,1.6,1.1,2.7,Y,Y,Y
NH-0005,0.8,0.8,1.6,Y,Y,N
NH-0002,0.8,1.5,2.3,Y,Y,N
NH-0061,1.1,1.9,3.1,Y,Y,N
NH-0079,1.7,0.6,2.2,Y,Y,Y
NH-0102,0.8,1.5,2.3,Y,Y,Y
NH-0037,1.5,1.0,2.5,Y,Y,Y
NH-0077,1.6,1.5,3.1,Y,Y,N
NH-0101,1.5,1.4,2.9,Y,Y,N
NH-0085,1.0,1.5,2.4,Y,Y,N
NH-0044,1.4,2.1,3.5,Y,Y,N
NH-0039,1.0,1.6,2.5,Y,Y,N
NH-0064,1.0,2.0,3.0,Y,Y,N
NH-0075,1.7,1.7,3.4,Y,Y,N
NH-0032,1.2,2.2,3.4,Y,Y,N
NH-0095,1.1,0.8,2.0,Y,Y,N
NH-0105,1.0,1.0,2.1,Y,Y,N
NH-0118,1.2,1.1,2.3,Y,Y,N
NH-0141,1.1,1.0,2.1,Y,Y,Y
NH-0124,1.6,1.3,2.9,Y,Y,N
NH-0034,0.5,1.4,1.9,Y,Y,Y
NH-0062,1.3,1.0,2.3,Y,Y,Y
NH-0068,1.5,2.0,3.5,Y,Y,N
NH-0087,1.0,1.9,2.9,Y,Y,N
NH-0047,1.2,1.0,2.2,Y,Y,N
NH-0097,1.1,1.4,2.5,Y,Y,N
NH-0074,1.3,1.1,2.4,Y,Y,N
NH-0027,1.4,1.5,2.9,Y,Y,N
NH-0017,1.8,1.3,3.1,Y,Y,Y
NH-0069,1.5,1.6,3.1,Y,Y,N
NH-0038,1.4,2.1,3.5,Y,Y,N
NH-0089,1.5,1.4,2.9,Y,Y,N
NH-0090,1.6,1.1,2.6,Y,Y,Y
NH-0110,1.6,1.7,3.3,Y,Y,Y
NH-0054,1.0,1.9,2.9,Y,Y,N
NH-0081,1.0,1.8,2.8,Y,Y,Y
NH-0138,1.0,1.3,2.3,Y,Y,N
NH-0053,1.2,1.5,2.7,Y,Y,N
NH-0082,1.3,1.4,2.7,Y,Y,N
NH-0078,1.6,1.7,3.3,Y,Y,N
NH-0045,1.3,1.9,3.2,Y,Y,Y
NH-0120,0.9,1.3,2.2,Y,Y,N
NH-0107,1.1,1.8,2.9,Y,Y,N
NH-0055,1.1,1.9,2.9,Y,Y,N
NH-0015,1.4,1.0,2.4,Y,Y,N
NH-0050,1.0,2.0,3.0,Y,Y,Y
NH-0016,1.6,0.8,2.4,Y,Y,N
NH-0106,2.0,1.4,3.5,Y,Y,N
NH-0125,1.2,1.9,3.1,Y,Y,Y
NH-0024,1.3,1.4,2.6,Y,Y,N
NH-0112,0.9,2.0,2.8,Y,Y,N
NH-0114,0.7,1.9,2.5,Y,Y,Y
NH-0057,0.9,2.1,2.9,Y,Y,N
NH-0048,1.0,1.8,2.8,Y,Y,N
NH-0066,1.3,1.5,2.9,Y,Y,Y
NH-0113,1.3,1.9,3.2,Y,Y,N
NH-0013,1.0,1.8,2.8,Y,Y,N
NH-0121,1.7,1.3,3.0,Y,Y,N
NH-0072,1.4,1.5,2.8,Y,Y,N
NH-0119,1.0,2.4,3.4,Y,Y,Y
NH-0041,0.9,2.0,2.9,Y,Y,N
NH-0043,1.3,2.4,3.7,Y,Y,N
NH-0076,1.3,1.5,2.8,Y,Y,Y
NH-0020,1.6,1.5,3.0,Y,Y,N
NH-0046,0.7,1.3,2.0,Y,Y,N
NH-0051,1.2,1.5,2.7,Y,Y,N
NH-0018,1.2,1.7,2.9,Y,Y,N
NH-0084,1.7,1.1,2.8,Y,Y,N
NH-0008,1.0,1.2,2.3,Y,Y,N
NH-0031,0.9,1.2,2.1,Y,Y,Y
NH-0103,1.4,1.2,2.6,Y,Y,N
NH-0092,1.4,0.8,2.2,Y,Y,N
NH-0088,1.4,2.2,3.6,Y,Y,N
NH-0001,0.9,0.6,1.5,Y,Y,N
NH-0111,1.3,1.6,2.9,Y,Y,N
NH-0012,1.0,1.6,2.6,Y,Y,Y
NH-0071,1.1,1.2,2.3,Y,Y,Y
NH-0133,1.0,1.5,2.5,Y,Y,N
NH-0116,0.7,2.4,3.1,Y,Y,Y
NH-0147,1.0,1.4,2.5,Y,Y,N
NH-0026,1.2,2.5,3.7,Y,Y,N
NH-0028,1.6,1.4,2.9,Y,Y,N
NH-0058,1.4,1.8,3.2,Y,Y,N
NH-0083,1.4,1.2,2.6,Y,Y,Y
NH-0139,1.6,1.7,3.3,Y,Y,N
