hire_id,handson_minutes_account,handson_minutes_groups,handson_minutes_home_dir,handson_minutes_mailbox,handson_minutes_vpn,handson_minutes_welcome_email,handson_minutes_ticket_logging,total_handson_minutes,all_required_groups_assigned_first_try,vpn_ready_day1,remote_eligible
NH-0003,6.2,7.9,4.4,5.8,0.0,4.1,2.4,30.8,Y,Y,N
NH-0123,4.9,10.4,3.5,5.1,0.0,3.6,2.3,29.7,Y,Y,N
NH-0132,2.5,8.1,5.3,9.1,2.6,2.3,1.6,31.4,Y,Y,Y
NH-0108,5.6,9.6,4.6,5.2,3.9,3.0,2.1,34.0,Y,Y,Y
NH-0091,4.9,6.1,2.4,7.9,0.0,4.6,2.5,28.5,N,Y,N
NH-0025,5.1,3.1,5.4,6.7,0.0,2.7,1.8,24.8,Y,Y,N
NH-0143,6.3,7.5,4.3,3.4,0.0,2.8,2.1,26.3,Y,Y,N
NH-0007,5.1,5.5,3.4,5.7,0.0,4.6,2.6,26.8,Y,Y,N
NH-0100,3.6,9.8,4.8,4.7,4.1,2.5,1.7,31.1,N,N,Y
NH-0040,5.5,7.9,5.6,5.1,0.0,3.3,1.3,28.7,Y,Y,N
NH-0094,5.2,10.6,5.0,3.3,0.0,3.0,1.5,28.5,N,Y,N
NH-0093,4.6,5.9,5.5,4.9,2.8,2.3,1.8,27.9,Y,N,Y
NH-0005,3.5,11.4,6.0,6.4,0.0,2.0,2.6,31.8,Y,Y,N
NH-0002,5.2,9.9,2.7,6.0,0.0,2.2,2.6,28.7,Y,Y,N
NH-0061,2.9,7.2,5.8,7.8,0.0,2.1,2.5,28.3,Y,Y,N
NH-0079,4.1,8.9,4.5,5.8,1.5,3.6,2.6,31.0,Y,Y,Y
NH-0102,4.7,13.2,5.0,4.3,2.8,3.1,1.7,34.8,Y,Y,Y
NH-0037,6.9,13.5,4.7,3.9,4.2,1.6,2.0,36.8,N,N,Y
NH-0077,4.9,10.3,4.9,5.2,0.0,1.5,1.6,28.4,N,Y,N
NH-0101,4.0,4.1,4.7,4.9,0.0,4.8,2.1,24.5,N,Y,N
NH-0085,5.9,8.0,4.0,7.2,0.0,3.0,1.6,29.7,Y,Y,N
NH-0044,7.1,8.1,5.2,7.5,0.0,3.2,1.9,33.0,Y,Y,N
NH-0039,4.7,9.8,6.0,6.9,0.0,3.3,1.6,32.2,Y,Y,N
NH-0064,5.5,4.1,4.1,5.0,0.0,3.6,2.4,24.8,Y,Y,N
NH-0075,5.0,8.5,3.7,6.8,0.0,4.3,2.2,30.5,Y,Y,N
NH-0032,6.3,7.5,6.1,4.5,0.0,2.2,2.5,29.1,N,Y,N
NH-0095,4.2,8.7,3.8,6.4,0.0,2.9,2.7,28.7,Y,Y,N
NH-0105,5.2,4.6,4.8,3.8,0.0,3.4,1.9,23.7,Y,Y,N
NH-0118,5.5,9.3,4.3,4.9,0.0,2.2,1.6,27.9,Y,Y,N
NH-0141,5.2,7.3,2.1,5.3,3.2,3.7,2.3,29.1,Y,N,Y
NH-0124,6.2,5.9,2.8,7.8,0.0,2.5,2.8,27.9,Y,Y,N
NH-0034,6.6,10.0,2.9,5.6,2.3,4.2,1.7,33.4,Y,Y,Y
NH-0062,4.3,6.2,3.3,3.4,3.4,3.1,2.2,25.8,Y,N,Y
NH-0068,4.1,6.5,4.3,5.9,0.0,3.0,1.2,25.0,Y,Y,N
NH-0087,5.9,7.0,2.5,4.5,0.0,3.3,1.9,25.1,Y,Y,N
NH-0047,5.3,6.9,2.3,6.6,0.0,3.4,1.0,25.5,Y,Y,N
NH-0097,5.3,6.8,6.3,6.2,0.0,2.6,2.7,29.8,Y,Y,N
NH-0074,5.5,9.5,2.3,6.6,0.0,2.2,1.7,27.8,Y,Y,N
NH-0027,4.4,8.9,3.3,4.6,0.0,2.5,1.9,25.8,Y,Y,N
NH-0017,4.5,8.5,3.5,5.3,1.0,4.1,2.1,29.1,N,Y,Y
