ticket_id,month,category,issue,self_service_eligible,resolution_minutes
KB-00001,1,Password Reset,Forgot network password,Y,4.9
KB-00002,1,Password Reset,Forgot network password,Y,5.6
KB-00003,1,Password Reset,Forgot network password,Y,3.9
KB-00004,1,Password Reset,Forgot network password,Y,3.0
KB-00005,1,Password Reset,Forgot network password,Y,4.4
KB-00006,1,Password Reset,Forgot network password,Y,5.0
KB-00007,1,Password Reset,Forgot network password,Y,5.7
KB-00008,1,Password Reset,Forgot network password,Y,3.1
KB-00009,1,Password Reset,Forgot network password,Y,3.0
KB-00010,1,Password Reset,Forgot network password,Y,5.3
KB-00011,1,Password Reset,Forgot network password,Y,5.0
KB-00012,1,Password Reset,Forgot network password,Y,6.2
KB-00013,1,Password Reset,Forgot network password,Y,5.6
KB-00014,1,Password Reset,Forgot network password,Y,4.4
KB-00015,1,Password Reset,Forgot network password,Y,4.2
KB-00016,1,Password Reset,Forgot network password,Y,7.4
KB-00017,1,Password Reset,Forgot network password,Y,4.2
KB-00018,1,Password Reset,Forgot network password,Y,3.6
KB-00019,1,Password Reset,Forgot network password,Y,3.2
KB-00020,1,Password Reset,Forgot network password,Y,4.6
KB-00021,1,Password Reset,Forgot network password,Y,4.7
KB-00022,1,Password Reset,Forgot network password,Y,4.1
KB-00023,1,Password Reset,Forgot network password,Y,4.4
KB-00024,1,Password Reset,Forgot network password,Y,4.8
KB-00025,1,Password Reset,Forgot network password,Y,5.3
KB-00026,1,Password Reset,Forgot network password,Y,5.7
KB-00027,1,Password Reset,Forgot network password,Y,4.7
KB-00028,1,Password Reset,Forgot network password,Y,2.5
KB-00029,1,Password Reset,Forgot network password,Y,5.3
KB-00030,1,Password Reset,Forgot network password,Y,2.9
KB-00031,1,Password Reset,Forgot network password,Y,4.3
KB-00032,1,Password Reset,Forgot network password,Y,2.8
KB-00033,1,Password Reset,Forgot network password,Y,4.5
KB-00034,1,Password Reset,Forgot network password,Y,3.6
KB-00035,1,Password Reset,Forgot network password,Y,4.7
KB-00036,1,Password Reset,Forgot network password,Y,8.2
KB-00037,1,Password Reset,Forgot network password,Y,4.4
KB-00038,1,Password Reset,Forgot network password,Y,5.4
KB-00039,1,Password Reset,Forgot network password,Y,3.0
KB-00040,1,Password Reset,Forgot network password,Y,4.2
KB-00041,1,Password Reset,Forgot network password,Y,5.2
KB-00042,1,Password Reset,Forgot network password,Y,4.4
KB-00043,1,Password Reset,Forgot network password,Y,4.9
KB-00044,1,Password Reset,Forgot network password,Y,4.6
KB-00045,1,Password Reset,Forgot network password,Y,3.4
KB-00046,1,Password Reset,Forgot network password,Y,5.1
KB-00047,1,Password Reset,Forgot network password,Y,3.6
KB-00048,1,Password Reset,Forgot network password,Y,6.6
KB-00049,2,Password Reset,Forgot network password,Y,5.3
KB-00050,2,Password Reset,Forgot network password,Y,4.5
KB-00051,2,Password Reset,Forgot network password,Y,5.6
KB-00052,2,Password Reset,Forgot network password,Y,3.8
KB-00053,2,Password Reset,Forgot network password,Y,5.6
KB-00054,2,Password Reset,Forgot network password,Y,4.4
KB-00055,2,Password Reset,Forgot network password,Y,5.9
KB-00056,2,Password Reset,Forgot network password,Y,5.2
KB-00057,2,Password Reset,Forgot network password,Y,4.7
KB-00058,2,Password Reset,Forgot network password,Y,3.6
KB-00059,2,Password Reset,Forgot network password,Y,5.4
KB-00060,2,Password Reset,Forgot network password,Y,5.0
KB-00061,2,Password Reset,Forgot network password,Y,6.3
KB-00062,2,Password Reset,Forgot network password,Y,4.1
KB-00063,2,Password Reset,Forgot network password,Y,5.1
KB-00064,2,Password Reset,Forgot network password,Y,5.1
KB-00065,2,Password Reset,Forgot network password,Y,4.8
KB-00066,2,Password Reset,Forgot network password,Y,4.7
KB-00067,2,Password Reset,Forgot network password,Y,4.7
KB-00068,2,Password Reset,Forgot network password,Y,3.8
KB-00069,2,Password Reset,Forgot network password,Y,3.4
KB-00070,2,Password Reset,Forgot network password,Y,4.1
KB-00071,2,Password Reset,Forgot network password,Y,5.2
KB-00072,2,Password Reset,Forgot network password,Y,6.2
KB-00073,2,Password Reset,Forgot network password,Y,5.6
KB-00074,2,Password Reset,Forgot network password,Y,5.7
KB-00075,2,Password Reset,Forgot network password,Y,5.4
KB-00076,2,Password Reset,Forgot network password,Y,5.3
KB-00077,2,Password Reset,Forgot network password,Y,4.7
KB-00078,2,Password Reset,Forgot network password,Y,5.4
KB-00079,2,Password Reset,Forgot network password,Y,6.5
KB-00080,2,Password Reset,Forgot network password,Y,4.1
KB-00081,2,Password Reset,Forgot network password,Y,3.7
KB-00082,2,Password Reset,Forgot network password,Y,6.7
KB-00083,2,Password Reset,Forgot network password,Y,4.8
KB-00084,2,Password Reset,Forgot network password,Y,5.6
KB-00085,2,Password Reset,Forgot network password,Y,5.5
KB-00086,2,Password Reset,Forgot network password,Y,3.2
KB-00087,2,Password Reset,Forgot network password,Y,7.2
KB-00088,2,Password Reset,Forgot network password,Y,6.5
KB-00089,2,Password Reset,Forgot network password,Y,4.7
KB-00090,2,Password Reset,Forgot network password,Y,5.3
KB-00091,2,Password Reset,Forgot network password,Y,4.6
KB-00092,2,Password Reset,Forgot network password,Y,3.5
KB-00093,2,Password Reset,Forgot network password,Y,4.4
KB-00094,2,Password Reset,Forgot network password,Y,4.9
KB-00095,2,Password Reset,Forgot network password,Y,5.8
KB-00096,2,Password Reset,Forgot network password,Y,5.3
KB-00097,2,Password Reset,Forgot network password,Y,4.6
KB-00098,2,Password Reset,Forgot network password,Y,6.0
KB-00099,2,Password Reset,Forgot network password,Y,3.6
KB-00100,2,Password Reset,Forgot network password,Y,5.4
KB-00101,2,Password Reset,Forgot network password,Y,5.8
KB-00102,2,Password Reset,Forgot network password,Y,4.2
KB-00103,2,Password Reset,Forgot network password,Y,2.5
KB-00104,2,Password Reset,Forgot network password,Y,3.5
KB-00105,3,Password Reset,Forgot network password,Y,5.1
KB-00106,3,Password Reset,Forgot network password,Y,6.2
KB-00107,3,Password Reset,Forgot network password,Y,3.4
KB-00108,3,Password Reset,Forgot network password,Y,4.5
KB-00109,3,Password Reset,Forgot network password,Y,5.2
KB-00110,3,Password Reset,Forgot network password,Y,4.3
KB-00111,3,Password Reset,Forgot network password,Y,2.0
KB-00112,3,Password Reset,Forgot network password,Y,5.4
KB-00113,3,Password Reset,Forgot network password,Y,7.1
KB-00114,3,Password Reset,Forgot network password,Y,5.6
KB-00115,3,Password Reset,Forgot network password,Y,3.5
KB-00116,3,Password Reset,Forgot network password,Y,4.0
KB-00117,3,Password Reset,Forgot network password,Y,4.7
KB-00118,3,Password Reset,Forgot network password,Y,7.3
KB-00119,3,Password Reset,Forgot network password,Y,5.2
KB-00120,3,Password Reset,Forgot network password,Y,4.6
KB-00121,3,Password Reset,Forgot network password,Y,6.3
