ticket_id,created_at,category,priority,assigned_tech_id,resolved_at,resolution_hours,sla_target_hours,sla_breached,reopened
HD-00030,2025-03-03T08:10,Network & VPN,Low,T01,2025-03-04T12:10,27.99,48,False,False
HD-00004,2025-03-03T08:19,Password Reset,Medium,T01,2025-03-03T08:30,0.19,24,False,False
HD-00032,2025-03-03T10:47,Network & VPN,Critical,T01,2025-03-04T04:09,17.36,4,True,False
HD-00016,2025-03-03T11:20,Email & Calendar,Low,T01,2025-03-03T13:48,2.46,48,False,False
HD-00008,2025-03-03T11:29,Account Access,Medium,T01,2025-03-03T12:53,1.4,24,False,False
HD-00017,2025-03-03T11:51,Email & Calendar,Medium,T06,2025-03-03T21:36,9.76,24,False,False
HD-00001,2025-03-03T12:12,Password Reset,Medium,T07,2025-03-03T13:19,1.12,24,False,False
HD-00027,2025-03-03T13:56,Software Install,Medium,T05,2025-03-03T21:16,7.34,24,False,False
HD-00029,2025-03-03T15:20,Software Install,High,T07,2025-03-03T23:55,8.58,8,True,False
HD-00014,2025-03-04T09:37,Account Access,High,T05,2025-03-04T11:50,2.22,8,False,False
HD-00020,2025-03-04T09:47,Hardware,Medium,T02,2025-03-04T20:11,10.41,24,False,False
HD-00021,2025-03-04T13:09,Hardware,Medium,T08,2025-03-04T21:15,8.1,24,False,False
HD-00028,2025-03-04T13:43,Software Install,Low,T06,2025-03-04T20:10,6.45,48,False,False
HD-00022,2025-03-04T16:49,Hardware,Medium,T04,2025-03-04T20:05,3.27,24,False,False
HD-00010,2025-03-05T09:21,Account Access,Medium,T06,2025-03-05T11:38,2.28,24,False,False
HD-00033,2025-03-05T13:29,Network & VPN,Low,T06,2025-03-05T23:38,10.14,48,False,True
HD-00012,2025-03-05T13:57,Account Access,Low,T07,2025-03-05T18:17,4.34,48,False,False
HD-00018,2025-03-05T15:17,Hardware,Low,T07,2025-03-05T21:01,5.73,48,False,False
HD-00026,2025-03-05T16:14,Software Install,High,T02,2025-03-06T03:32,11.31,8,True,False
HD-00009,2025-03-05T16:48,Account Access,Medium,T04,2025-03-05T19:01,2.21,24,False,False
